caller_module,callee_module,relationships,call_sites
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\SCROLL.C,5,6
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\COLCALC.C,5,6
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\COLCALC.C,5,6
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\NETMOX.C,5,6
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\MAINSCR.C,5,6
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\SCROLL.C,5,6
D:\MOX\OTHERS\RACESEL.C,D:\MOX\OTHERS\KEN.C,5,6
D:\MOX\OTHERS\TEXTBOX.C,L:\MOX\MOX2.C,5,6
D:\MOX\RACERPRT.C,D:\MOX\BILL.C,5,6
D:\MOX\DIP-SCRN.C,D:\MOX\TECH.C,4,6
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\AIPOWER.C,4,6
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\CMBTMOV1.C,4,6
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\AIPOWER.C,4,6
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\SHIPS.C,4,6
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\NETMOX.C,4,6
D:\MOX\OTHERS\MAINMENU.C,L:\MOX\MOX2.C,4,6
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\HACCESS.C,4,6
D:\MOX\SMACK.C,D:\MOX\OTHERS\ERIC.C,4,6
D:\MOX\ANTAROOM.C,D:\MOX\OTHERS\ERIC.C,3,6
D:\MOX\DIPLOMAC.C,D:\MOX\OTHERS\AIMOVE.C,3,6
D:\MOX\DIPLOMAC.C,D:\MOX\OTHERS\AITECH.C,3,6
D:\MOX\OTHERS\AIBUILD.C,D:\MOX\OTHERS\COLBLDG.C,3,6
D:\MOX\OTHERS\CMBTMIS.C,D:\MOX\OTHERS\INITSHIP.C,3,6
D:\MOX\OTHERS\COLBOMB.C,D:\MOX\OTHERS\HACCESS.C,3,6
D:\MOX\OTHERS\COLDRAW.C,D:\MOX\OTHERS\ESTRINGS.C,3,6
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\MISC.C,3,6
D:\MOX\RACESCRN.C,L:\MOX\MOX2.C,3,6
D:\MOX\OTHERS\ADVCIV.C,D:\MOX\OTHERS\RUSS.C,2,6
D:\MOX\OTHERS\INVASION.C,L:\MOX\ERICNET.C,2,6
D:\MOX\OTHERS\RACESEL.C,D:\MOX\OTHERS\RUSS.C,2,6
D:\MOX\OTHERS\SPY.C,D:\MOX\OTHERS\OFFICER.C,2,6
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\KEN.C,1,6
D:\MOX\INFO.C,D:\MOX\OTHERS\MSG.C,5,5
D:\MOX\OTHERS\AIDUDES.C,D:\MOX\OTHERS\AIBUILD.C,5,5
D:\MOX\OTHERS\BEAMS.C,L:\MOX\MOX2.C,5,5
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\CMBTSPEC.C,5,5
D:\MOX\OTHERS\CMBTMIS.C,D:\MOX\OTHERS\CMBTFIR2.C,5,5
D:\MOX\OTHERS\CMBTSPEC.C,D:\MOX\OTHERS\CMBTFIRE.C,5,5
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\COLDRAW.C,5,5
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\INVASION.C,5,5
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\COLSYSDI.C,5,5
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\ERICHELP.C,5,5
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\SHIPMOVE.C,5,5
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\CMBTFIRE.C,5,5
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\MISC.C,5,5
D:\MOX\OTHERS\GENDRAW.C,D:\MOX\FMTPARA.C,5,5
D:\MOX\OTHERS\HACCESS.C,D:\MOX\OTHERS\HAROLD.C,5,5
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\SHIPS.C,5,5
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\SYS.C,5,5
D:\MOX\OTHERS\MAINTAIN.C,D:\MOX\OTHERS\COLCALC.C,5,5
D:\MOX\OTHERS\MISC.C,D:\MOX\OTHERS\ERIC.C,5,5
D:\MOX\OTHERS\MSG.C,D:\MOX\EVENTS.C,5,5
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\RUSS.C,5,5
D:\MOX\OTHERS\NAMESTAR.C,D:\MOX\OTHERS\MISC.C,5,5
D:\MOX\OTHERS\NETSTART.C,L:\MOX\INITGAME.C,5,5
D:\MOX\OTHERS\NEWPUP.C,D:\MOX\OTHERS\COLONY.C,5,5
D:\MOX\OTHERS\OFFICER.C,L:\MOX\MOX2.C,5,5
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\MOVEBOX.C,5,5
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\SHIPMOVE.C,5,5
L:\MOX\INITGAME.C,D:\MOX\OTHERS\HOMEGEN.C,5,5
L:\MOX\MOX2.C,D:\MOX\OTHERS\HAROLD.C,5,5
L:\MOX\NEXTTURN.C,D:\MOX\DIPLOMAC.C,5,5
D:\MOX\OTHERS\BEAMS.C,L:\MOX\ERICNET.C,4,5
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\CMBTAI.C,4,5
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\OTHERS\FLCQUEUE.C,4,5
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\MOVEBOX.C,4,5
D:\MOX\OTHERS\COLXPORT.C,L:\MOX\MOX2.C,4,5
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\GENDRAW.C,4,5
D:\MOX\OTHERS\DESBOX.C,D:\MOX\OTHERS\EVANHELP.C,4,5
D:\MOX\OTHERS\DESBOX.C,D:\MOX\OTHERS\GENDRAW.C,4,5
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\EVANHELP.C,4,5
D:\MOX\OTHERS\NETSTART.C,D:\MOX\OTHERS\MISC.C,4,5
D:\MOX\OTHERS\NEWPUP.C,L:\MOX\MOX2.C,4,5
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\MAINPUPS.C,4,5
D:\MOX\SCIENCE.C,D:\MOX\BILL.C,4,5
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\ERIC.C,4,5
D:\MOX\OTHERS\AIPOWER.C,D:\MOX\OTHERS\DESIGN.C,3,5
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\RUSS.C,3,5
D:\MOX\OTHERS\CMBTFIRE.C,D:\MOX\OTHERS\CMBTFIR2.C,3,5
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\GENDRAW.C,3,5
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\DESIGN.C,3,5
D:\MOX\OTHERS\COLSYSDI.C,D:\MOX\OTHERS\ERIC.C,3,5
D:\MOX\OTHERS\DESIGN.C,D:\MOX\JIM.C,3,5
D:\MOX\OTHERS\INITSHIP.C,D:\MOX\OTHERS\AIDESIGN.C,3,5
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\FLCQUEUE.C,3,5
D:\MOX\RACESCRN.C,D:\MOX\OTHERS\ERIC.C,3,5
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\OFFICER.C,2,5
D:\MOX\OTHERS\COMBAT.C,L:\MOX\ERICNET.C,2,5
D:\MOX\OTHERS\LOADSAVE.C,D:\MOX\OTHERS\RUSS.C,1,5
D:\MOX\COUNCIL.C,D:\MOX\BILL.C,4,4
D:\MOX\COUNCIL.C,L:\MOX\MOX2.C,4,4
D:\MOX\DIP-SCRN.C,D:\MOX\OTHERS\MSG.C,4,4
D:\MOX\EVENTS.C,D:\MOX\OTHERS\BOMB.C,4,4
D:\MOX\INFO.C,D:\MOX\OTHERS\TEXTBOX.C,4,4
D:\MOX\OTHERS\AIDATA.C,D:\MOX\OTHERS\SHIPMOVE.C,4,4
D:\MOX\OTHERS\AIDUDES.C,D:\MOX\EVENTS.C,4,4
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\EVENTS.C,4,4
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\BEAMS.C,4,4
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\INITSHIP.C,4,4
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\COMBAT1.C,4,4
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\TEXTBOX.C,4,4
D:\MOX\OTHERS\CMBTMIS.C,D:\MOX\OTHERS\CMBTMOV1.C,4,4
D:\MOX\OTHERS\CMBTMOV1.C,D:\MOX\OTHERS\CMBTAI.C,4,4
D:\MOX\OTHERS\CMBTMOV1.C,D:\MOX\OTHERS\CMBTFIR2.C,4,4
D:\MOX\OTHERS\CMBTMOV1.C,D:\MOX\OTHERS\CMBTSPEC.C,4,4
D:\MOX\OTHERS\CMBTMOV1.C,L:\MOX\MOX2.C,4,4
D:\MOX\OTHERS\CMBTSPEC.C,D:\MOX\OTHERS\COMBAT1.C,4,4
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\INITSHIP.C,4,4
D:\MOX\OTHERS\COLREFIT.C,D:\MOX\BILL.C,4,4
D:\MOX\OTHERS\COLXPORT.C,D:\MOX\OTHERS\COLSUM.C,4,4
D:\MOX\OTHERS\ERIC.C,D:\MOX\BILL.C,4,4
D:\MOX\OTHERS\FLEETPOP.C,D:\MOX\OTHERS\MAINSCR.C,4,4
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\OFFICER.C,4,4
D:\MOX\OTHERS\INITSHIP.C,D:\MOX\OTHERS\CMBTFIR2.C,4,4
D:\MOX\OTHERS\LOADSAVE.C,D:\MOX\OTHERS\EVANHELP.C,4,4
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\BILL.C,4,4
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\NAMESTAR.C,4,4
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\MAINPUPS.C,4,4
D:\MOX\OTHERS\MISC.C,D:\MOX\OTHERS\ASSERT.C,4,4
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\MULTPLAY.C,4,4
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\ERIC.C,4,4
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\SCROLL.C,4,4
D:\MOX\OTHERS\REPORT.C,D:\MOX\EVENTS.C,4,4
D:\MOX\OTHERS\SPY.C,D:\MOX\OTHERS\COLCALC.C,4,4
D:\MOX\SCIENCE.C,D:\MOX\OTHERS\COLONY.C,4,4
L:\MOX\ERICNET.C,D:\MOX\OTHERS\INVASION.C,4,4
L:\MOX\INITGAME.C,D:\MOX\BILL.C,4,4
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\OFFICER.C,4,4
D:\MOX\OTHERS\AIBUILD.C,D:\MOX\OTHERS\INITSHIP.C,3,4
D:\MOX\OTHERS\AIDATA.C,D:\MOX\OTHERS\GEO.C,3,4
D:\MOX\OTHERS\AIDUDES.C,D:\MOX\OTHERS\RUSS.C,3,4
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\AIDATA.C,3,4
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\BILL.C,3,4
D:\MOX\OTHERS\COLGCBT.C,L:\MOX\MOX2.C,3,4
D:\MOX\OTHERS\COLLAND.C,D:\MOX\OTHERS\ERIC.C,3,4
D:\MOX\OTHERS\COLSUM.C,L:\MOX\MOX2.C,3,4
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\ERIC.C,3,4
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\KEN.C,3,4
D:\MOX\OTHERS\GENDRAW.C,D:\MOX\OTHERS\TEXTBOX.C,3,4
D:\MOX\OTHERS\HOMEGEN.C,D:\MOX\OTHERS\GEO.C,3,4
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\REPORT.C,3,4
D:\MOX\OTHERS\NETTURN.C,D:\MOX\OTHERS\NETSTART.C,3,4
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\TEXTBOX.C,3,4
D:\MOX\OTHERS\SCORE.C,L:\MOX\MOX2.C,3,4
D:\MOX\OTHERS\SETTLER.C,D:\MOX\EVENTS.C,3,4
D:\MOX\OTHERS\SHIPMOVE.C,D:\MOX\OTHERS\OFFICER.C,3,4
D:\MOX\OTHERS\SYS.C,D:\MOX\OTHERS\COLCALC.C,3,4
D:\MOX\SCIENCE.C,D:\MOX\FMTPARA.C,3,4
D:\MOX\SCIENCE.C,D:\MOX\OTHERS\ERIC.C,3,4
D:\MOX\TURNSUM.C,L:\MOX\MOX2.C,3,4
L:\MOX\INITGAME.C,D:\MOX\OTHERS\KEN.C,3,4
D:\MOX\OTHERS\COLDRAW.C,D:\MOX\OTHERS\HAROLD.C,2,4
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\HACCESS.C,2,4
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\NETMOX.C,2,4
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\COMBINIT.C,2,4
D:\MOX\OTHERS\CONTACT.C,D:\MOX\OTHERS\SHIPMOVE.C,2,4
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\RUSS.C,2,4
D:\MOX\OTHERS\HOMEGEN.C,L:\MOX\MOX2.C,2,4
D:\MOX\OTHERS\INVASION.C,D:\MOX\OTHERS\OFFICER.C,2,4
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\SHIPS.C,2,4
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\GENDRAW.C,2,4
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\SHIPS.C,2,4
D:\MOX\OTHERS\SPY.C,D:\MOX\OTHERS\MSG.C,2,4
D:\MOX\OTHERS\SPY.C,D:\MOX\OTHERS\REPORT.C,2,4
D:\MOX\OTHERS\COLLAND.C,L:\MOX\ERICNET.C,1,4
D:\MOX\OTHERS\COLREFIT.C,D:\MOX\OTHERS\TEXTBOX.C,1,4
D:\MOX\OTHERS\HOTPOP.C,D:\MOX\OTHERS\HAROLD.C,1,4
D:\MOX\OTHERS\OCPOLPUP.C,D:\MOX\OTHERS\HAROLD.C,1,4
D:\MOX\OTHERS\SYS.C,D:\MOX\OTHERS\RUSS.C,1,4
D:\MOX\ANTAROOM.C,D:\MOX\JIM.C,3,3
D:\MOX\ANTAROOM.C,L:\MOX\MOX2.C,3,3
D:\MOX\COUNCIL.C,D:\MOX\OTHERS\COLCALC.C,3,3
D:\MOX\EVENTS.C,D:\MOX\OTHERS\KEN.C,3,3
D:\MOX\EVENTS.C,L:\MOX\MOX2.C,3,3
D:\MOX\INFO.C,D:\MOX\OTHERS\ERIC.C,3,3
D:\MOX\LIST.C,D:\MOX\BILL.C,3,3
D:\MOX\OTHERS\ADVCIV.C,L:\MOX\ERICNET.C,3,3
D:\MOX\OTHERS\AIBOMB.C,D:\MOX\OTHERS\INVASION.C,3,3
D:\MOX\OTHERS\AIDATA.C,D:\MOX\OTHERS\AIPOWER.C,3,3
D:\MOX\OTHERS\ANTARANS.C,D:\MOX\OTHERS\SHIPMOVE.C,3,3
D:\MOX\OTHERS\BEAMS.C,D:\MOX\OTHERS\FIREPTS.C,3,3
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\INITSHIP.C,3,3
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\CMBTDRW1.C,3,3
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\INVASION.C,3,3
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\INITSHIP.C,3,3
D:\MOX\OTHERS\COLDRAW.C,D:\MOX\OTHERS\ERIC.C,3,3
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\OTHERS\ERIC.C,3,3
D:\MOX\OTHERS\COLGCBT.C,L:\MOX\ERICNET.C,3,3
D:\MOX\OTHERS\COLLAND.C,D:\MOX\OTHERS\NAMESTAR.C,3,3
D:\MOX\OTHERS\COLLAND.C,L:\MOX\MOX2.C,3,3
D:\MOX\OTHERS\COLONY.C,D:\MOX\BILL.C,3,3
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\ASSERT.C,3,3
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\COLXPORT.C,3,3
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\GENDRAW.C,3,3
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\KEN.C,3,3
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\MAINSCR.C,3,3
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\MOVEBOX.C,3,3
D:\MOX\OTHERS\COLONY.C,L:\MOX\ERICNET.C,3,3
D:\MOX\OTHERS\COLONY.C,L:\MOX\MOX2.C,3,3
D:\MOX\OTHERS\COLREFIT.C,D:\MOX\OTHERS\ERIC.C,3,3
D:\MOX\OTHERS\COLSUM.C,D:\MOX\BILL.C,3,3
D:\MOX\OTHERS\COLXPORT.C,D:\MOX\OTHERS\COLONY.C,3,3
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\AIPOWER.C,3,3
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\COMBINIT.C,3,3
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\NETMOX.C,3,3
D:\MOX\OTHERS\COMBFIND.C,L:\MOX\MOX2.C,3,3
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\BEAMS.C,3,3
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\MAINSCR.C,3,3
D:\MOX\OTHERS\COMBINIT.C,L:\MOX\MOX2.C,3,3
D:\MOX\OTHERS\FLEETPOP.C,D:\MOX\OTHERS\KEN.C,3,3
D:\MOX\OTHERS\FLEETPOP.C,D:\MOX\OTHERS\SCROLL.C,3,3
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\OFFICER.C,3,3
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\ERIC.C,3,3
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\SHIPMOVE.C,3,3
D:\MOX\OTHERS\HACCESS.C,D:\MOX\OTHERS\MOVEBOX.C,3,3
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\GENDRAW.C,3,3
D:\MOX\OTHERS\INITSHIP.C,D:\MOX\OTHERS\COLCALC.C,3,3
D:\MOX\OTHERS\INVASION.C,D:\MOX\OTHERS\AITECH.C,3,3
D:\MOX\OTHERS\INVASION.C,D:\MOX\OTHERS\RUSS.C,3,3
D:\MOX\OTHERS\INVASION.C,D:\MOX\OTHERS\SHIPS.C,3,3
D:\MOX\OTHERS\LOADSAVE.C,D:\MOX\OTHERS\GENDRAW.C,3,3
D:\MOX\OTHERS\MAINMENU.C,D:\MOX\OTHERS\HAROLD.C,3,3
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\NAMESTAR.C,3,3
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\SHIPMOVE.C,3,3
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\KEN.C,3,3
D:\MOX\OTHERS\MAINTAIN.C,D:\MOX\OTHERS\MSG.C,3,3
D:\MOX\OTHERS\MAINTAIN.C,D:\MOX\OTHERS\OFFICER.C,3,3
D:\MOX\OTHERS\MISC.C,L:\MOX\MOX2.C,3,3
D:\MOX\OTHERS\MOVEBOX.C,D:\MOX\OTHERS\FLEETPOP.C,3,3
D:\MOX\OTHERS\MOVEBOX.C,D:\MOX\OTHERS\HACCESS.C,3,3
D:\MOX\OTHERS\MOVEBOX.C,D:\MOX\OTHERS\MISC.C,3,3
D:\MOX\OTHERS\MOVEBOX.C,D:\MOX\OTHERS\SYS.C,3,3
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\ERIC.C,3,3
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\LOADSAVE.C,3,3
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\NAMESTAR.C,3,3
D:\MOX\OTHERS\NAMESTAR.C,D:\MOX\OTHERS\EVANHELP.C,3,3
D:\MOX\OTHERS\NETMOX.C,D:\MOX\DIPLOMAC.C,3,3
D:\MOX\OTHERS\NETSTART.C,D:\MOX\OTHERS\HAROLD.C,3,3
D:\MOX\OTHERS\NETSTART.C,D:\MOX\OTHERS\MAINSCR.C,3,3
D:\MOX\OTHERS\NETSTART.C,D:\MOX\OTHERS\MAPGEN.C,3,3
D:\MOX\OTHERS\NETSTART.C,D:\MOX\OTHERS\NETTURN.C,3,3
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\GENDRAW.C,3,3
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\MAINPUPS.C,3,3
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\MAINSCR.C,3,3
D:\MOX\OTHERS\RACEOPT.C,D:\MOX\OTHERS\ERIC.C,3,3
D:\MOX\OTHERS\RACESEL.C,D:\MOX\OTHERS\NAMESTAR.C,3,3
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\COLONIZE.C,3,3
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\NETMOX.C,3,3
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\OFFICER.C,3,3
D:\MOX\OTHERS\SCORE.C,D:\MOX\OTHERS\COLONY.C,3,3
D:\MOX\OTHERS\SCORE.C,D:\MOX\OTHERS\ERIC.C,3,3
D:\MOX\OTHERS\SHIPMOVE.C,D:\MOX\OTHERS\MAINSCR.C,3,3
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\MAINSCR.C,3,3
D:\MOX\RACESCRN.C,D:\MOX\OTHERS\COLONY.C,3,3
D:\MOX\TURNSUM.C,D:\MOX\OTHERS\MSG.C,3,3
L:\MOX\INITGAME.C,D:\MOX\OTHERS\COLCALC.C,3,3
L:\MOX\INITGAME.C,D:\MOX\OTHERS\ERIC.C,3,3
L:\MOX\INITGAME.C,D:\MOX\OTHERS\OFFICER.C,3,3
L:\MOX\INITGAME.C,L:\MOX\FILEDEF.C,3,3
L:\MOX\MOX2.C,D:\MOX\OTHERS\NETSTART.C,3,3
L:\MOX\MOX2.C,L:\MOX\INITGAME.C,3,3
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\SHIPMOVE.C,3,3
D:\MOX\NPCDIPLO.C,D:\MOX\EVENTS.C,2,3
D:\MOX\OTHERS\AIDATA.C,D:\MOX\OTHERS\HAROLD.C,2,3
D:\MOX\OTHERS\CMBTFIRE.C,D:\MOX\OTHERS\BEAMS.C,2,3
D:\MOX\OTHERS\CMBTMIS.C,L:\MOX\MOX2.C,2,3
D:\MOX\OTHERS\CMBTMOV1.C,D:\MOX\OTHERS\CMBTFIRE.C,2,3
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\OFFICER.C,2,3
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\OTHERS\ERICHELP.C,2,3
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\OTHERS\HACCESS.C,2,3
D:\MOX\OTHERS\COLLAND.C,D:\MOX\OTHERS\HACCESS.C,2,3
D:\MOX\OTHERS\COLMOVE.C,D:\MOX\OTHERS\COLCALC.C,2,3
D:\MOX\OTHERS\COLONIZE.C,D:\MOX\OTHERS\REPORT.C,2,3
D:\MOX\OTHERS\COMBAT1.C,L:\MOX\MOX2.C,2,3
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\AIBOMB.C,2,3
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\COLBOMB.C,2,3
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\COLGCBT.C,2,3
D:\MOX\OTHERS\COMBFIND.C,L:\MOX\ERICNET.C,2,3
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\GENDRAW.C,2,3
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\KEN.C,2,3
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\MISC.C,2,3
D:\MOX\OTHERS\GENDRAW.C,D:\MOX\OTHERS\MISC.C,2,3
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\TEXTBOX.C,2,3
D:\MOX\OTHERS\MAINMENU.C,D:\MOX\OTHERS\MISC.C,2,3
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\TEXTBOX.C,2,3
D:\MOX\OTHERS\MAINTAIN.C,D:\MOX\BILL.C,2,3
D:\MOX\OTHERS\MAPGEN.C,L:\MOX\MOX2.C,2,3
D:\MOX\OTHERS\MOVEBOX.C,D:\MOX\OTHERS\EVANHELP.C,2,3
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\EVANHELP.C,2,3
D:\MOX\OTHERS\NAMESTAR.C,L:\MOX\MOX2.C,2,3
D:\MOX\OTHERS\NETTURN.C,D:\MOX\OTHERS\MAINSCR.C,2,3
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\ANTARANS.C,2,3
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\EVENTS.C,2,3
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\SHIPS.C,2,3
D:\MOX\OTHERS\RACESEL.C,D:\MOX\OTHERS\ERIC.C,2,3
D:\MOX\OTHERS\RACESEL.C,D:\MOX\OTHERS\GENDRAW.C,2,3
D:\MOX\OTHERS\REPORT.C,D:\MOX\DIP-SCRN.C,2,3
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\MSG.C,2,3
D:\MOX\OTHERS\SPY.C,D:\MOX\OTHERS\RUSS.C,2,3
D:\MOX\OTHERS\SYS.C,D:\MOX\OTHERS\MAINPUPS.C,2,3
D:\MOX\OTHERS\TRADE.C,D:\MOX\OTHERS\COLCALC.C,2,3
D:\MOX\RACESCRN.C,D:\MOX\OTHERS\GENDRAW.C,2,3
L:\MOX\ERICNET.C,D:\MOX\OTHERS\OFFICER.C,2,3
L:\MOX\INITGAME.C,D:\MOX\OTHERS\MAINSCR.C,2,3
L:\MOX\INITGAME.C,L:\MOX\MOX2.C,2,3
D:\MOX\INFO.C,D:\MOX\OTHERS\RUSS.C,1,3
D:\MOX\OTHERS\CMBTMIS.C,D:\MOX\OTHERS\KEN.C,1,3
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\SHIPS.C,1,3
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\RUSS.C,1,3
D:\MOX\OTHERS\DESIGN.C,L:\MOX\MOX2.C,1,3
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\EVANHELP.C,1,3
D:\MOX\OTHERS\NEWGAME.C,D:\MOX\OTHERS\ERICHELP.C,1,3
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\PLNTSUM.C,1,3
