name,offset,inferred_end,inferred_size,module_index,kind
Previous_Star_,489248,489320,72,52,5
Print_A_Star_Name_,489320,489916,596,52,5
Print_Galaxy_Map_Scanned_Star_,489916,490233,317,52,5
Print_Highlighted_Star_Name_,490233,490414,181,52,5
Print_Main_Screen_Data_,490414,494346,3932,52,4
Set_Post_Fitted_Font_Style_,494346,494427,81,52,5
Print_Star_Name_To_Bitmap_,494427,494775,348,52,5
Print_Star_Names_,494775,494905,130,52,5
Redraw_Main_Screen_,494905,495169,264,52,4
Redraw_Main_Screen_Without_Boxes_,495169,495194,25,52,4
Restore_Hotseat_Map_Info_,495194,495453,259,52,4
Save_Hotseat_Map_Info_,495453,495581,128,52,4
Scan_Fleet_Movement_Box_Fields_,495581,495855,274,52,5
Scan_Galaxy_Map_Fields_,495855,496003,148,52,4
Scan_Moveable_Box_Fields_,496003,497319,1316,52,5
Scan_Ships_XY_,497319,497612,293,52,5
Scan_Stars_XY_,497612,498091,479,52,5
Scan_System_Display_Fields_,498091,499193,1102,52,4
Scroll_Map_,499193,499594,401,52,5
Clear_Main_Screen_Fields_,499594,499895,301,52,4
Set_Main_Screen_Fields_To_Null_,499594,499895,301,52,5
Set_Painted_Fleet_Fields_,499895,500057,162,52,5
Set_Reload_Fleet_Box_Palette_Flag_,500057,500074,17,52,4
Ship_Can_Be_Selected_,500074,500104,30,52,4
Star_On_Screen_,500104,500164,60,52,4
Exit_Zooming_Mode_,500164,500246,82,52,5
Toggle_Game_Option_,500246,500711,465,52,5
Get_Star_Name_Info_,500711,500932,221,52,4
Update_Ship_Icons_In_Between_Turns_,500932,500995,63,52,4
Update_Star_Owners_,500995,501048,53,52,4
Zoom_Box_Height_,501048,501064,16,52,4
Zoom_Box_Width_,501064,501074,10,52,4
Set_Player_Cheated_Flag_,501074,501105,31,52,4
Warn_About_Cheating_Players_,501105,501442,337,52,5
Fade_Into_Main_Screen_,501442,501756,314,52,4
Get_Research_Unit_String_,501756,501835,79,52,5
Begin_Of_Turn_,501835,502138,303,53,5
Building_Outposts_In_Main_Screen_,502138,502595,457,53,4
Check_Fleet_Movement_Box_Status_,502595,502637,42,53,5
Distance_Between_Stars_Screen_,502637,503170,533,53,4
Do_Begin_Of_Turn_,503170,503630,460,53,5
Draw_Main_Screen_For_Star_Distances_,503630,504187,557,53,5
Main_Screen_Report_Handler_,504187,504542,355,53,5
Planet_Colonization_In_Main_Screen_,504542,505036,494,53,4
Redraw_Main_Screen_After_Popups_,505036,505061,25,53,5
Restore_Fleet_Box_Palette_,505061,505113,52,53,5
Scrap_Freighters_,505113,505765,652,53,4
Unloading_Transports_In_Main_Screen_,505765,506198,433,53,4
Reports_Screen_,506198,506553,355,53,4
Show_Command_Points_Screen_,506553,506704,151,53,4
Assert_Class_To_Group_,506704,506705,1,54,4
Assign_Marooned_Heroes_,506705,506882,177,54,4
Write_Map_Gen_Data_,506882,506883,1,54,4
Clear_Planets_In_Star_Structure_,506883,506937,54,54,4
Enforce_Planet_Max_,506937,507469,532,54,4
Gas_Giants_,507469,507563,94,54,4
Generate_Climate_,507563,507811,248,54,4
Generate_Food_Per_Farmer_,507811,507872,61,54,4
Generate_Gravity_Class_,507872,507934,62,54,4
Generate_Max_Farms_,507934,507995,61,54,4
Generate_Mineral_Class_,507995,508057,62,54,4
Generate_Nebulas_,508057,509139,1082,54,4
Generate_Number_Of_Nebulas_,509139,509223,84,54,4
Generate_Number_Of_Satellites_,509223,509287,64,54,4
Generate_Orbit_,509287,509399,112,54,4
Generate_Satellite_,509399,509632,233,54,4
Set_Secondary_Planet_Data_,509632,509694,62,54,4
Generate_Satellite_Type_,509694,509905,211,54,4
Generate_Size_,509905,509959,54,54,5
Generate_Spectral_Class_,509959,510016,57,54,4
Get_A_Planet_Or_Star_Special_,510016,510867,851,54,4
Generate_Star_Special_,510867,510997,130,54,4
Generate_Wormhole_Links_,510997,511234,237,54,4
Get_Climate_Modifier_,511234,511296,62,54,4
Get_Minerals_Extracted_,511296,511317,21,54,4
Get_Planet_Group_,511317,511401,84,54,4
Get_Random_Orbit_,511401,511506,105,54,4
Get_Valid_Orbit_,511506,511660,154,54,4
Home_Planet_,511660,511753,93,54,4
Init_Main_Screen_,511753,511833,80,54,4
Nebula_Data_Test_,511833,511999,166,54,4
Set_Star_XYs_,511999,513085,1086,54,5
Star_XY_Invalid_,513085,513538,453,54,5
Randomize_Star_Names_,513538,513629,91,54,4
Set_Black_Hole_Visited_Flags_,513629,513671,42,54,4
Set_Default_Nebula_Data_,513671,513750,79,54,4
Set_Wormhole_Id_,513750,514209,459,54,4
Black_Hole_Fix_,514209,514567,358,54,5
Load_Nebula_Pictures_,514567,514792,225,54,4
Universe_Generation_,514792,516735,1943,54,4
Write_Other_Mapgen_Stuff_,516735,516736,1,54,4
Planet_Generation_,516736,516868,132,54,5
N_Empty_Stars_,516868,516929,61,54,4
Build_Min_Point_Distances_,516929,517265,336,54,5
Get_Star_Name_,517265,517344,79,54,5
Font_Colors_,517344,517573,229,55,4
Font_Colors2_,517573,517854,281,55,4
Get_Comma_String_,517854,518178,324,55,4
Min_Font_Colors_,518178,518477,299,55,4
Bit_Value_To_Num_,518477,518541,64,55,4
Box_Clipping_Window_,518541,518635,94,55,4
CHECK_PARAM_DRAW_,518635,518768,133,55,4
CHECK_PARAM_PRINT_,518768,518920,152,55,4
CHECK_PARAM_PRINT_INTEGER_,518920,519099,179,55,4
Change_Font_Style_,519099,519166,67,55,4
Decrease_Font_Color_Range_,519166,519280,114,55,4
Diagonal_Line_Fill_,519280,520161,881,55,4
Draw_Advancing_Fill_Message_,520161,520277,116,55,4
Draw_Darkened_Box_,520277,520381,104,55,4
Draw_Highlight_Box_,520381,520644,263,55,4
Fade_Into_Screen_,520644,520814,170,55,4
Fade_To_Black_,520814,520857,43,55,4
Fade_To_Palette_,520857,520924,67,55,4
Fill_Bitmap_,520924,521000,76,55,4
Fill_Bitmap_Unbounded_,521000,521113,113,55,4
Get_Advancing_Bitmap_String_Range_,521113,521402,289,55,5
Get_Bitmap_Dimensions_,521402,521418,16,55,4
Get_Bitmap_String_Range_,521418,521544,126,55,4
Get_File_Name_,521544,521765,221,55,4
Get_Font_Colors_,521765,521797,32,55,4
Get_Font_Spacing_,521797,521804,7,55,4
Get_Font_Style_,521804,521811,7,55,4
Get_Furthest_Endpoint_,521811,521951,140,55,4
Get_LBX_Message_,521951,521976,25,55,4
Get_Mox_Font_Colors_,521976,522006,30,55,4
Get_Mox_Min_Font_Colors_,522006,522029,23,55,4
Get_Time_Stamp_,522029,522093,64,55,4
Get_Time_Stamp_Int_,522093,522199,106,55,4
HCLS_,522199,522207,8,55,4
Increase_Font_Color_Range_,522207,522325,118,55,4
Increment_Mouse_Clock_Image_,522325,522385,60,55,4
Is_First_Letter_A_Vowel_,522385,522460,75,55,4
Is_Vowel_,522460,522576,116,55,4
Move_Range_,522576,522650,74,55,4
Next_File_Name_,522650,522959,309,55,4
Next_Multiple_,522959,522998,39,55,4
Occluded_,522998,523109,111,55,4
Ratio_Value_,523109,523129,20,55,4
Read_Data_File_,523129,523247,118,55,4
Remove_Chars_,523247,523394,147,55,4
Replace_Bitmap_Colors_,523394,523553,159,55,4
Replace_Char_,523553,523606,53,55,4
Restore_Window_Status_,523606,523633,27,55,4
Save_Window_Status_,523633,523652,19,55,4
Scale_,523652,523681,29,55,4
Set_Fitted_Font_Style_,523681,523786,105,55,4
Set_Font_Colors_,523786,523822,36,55,4
Set_Font_Default_Spacing_,523822,523844,22,55,4
Stat_Pct_,523844,523877,33,55,4
Substring_,523877,523912,35,55,4
Swap_Bitmap_Colors_,523912,524040,128,55,4
Tint_Bitmap_Colors_,524040,524158,118,55,4
Tint_Bitmap_Colors_In_Range_,524158,524280,122,55,4
Valid_Star_Index_,524280,524294,14,55,4
_Darken_Fill_,524294,524385,91,55,4
_Print_Centered_,524385,524425,40,55,4
_Print_Centered_Shadow_Down_,524425,524466,41,55,4
_Print_Right_Shadow_Down_,524466,524494,28,55,4
_Print_Shadow_Down_,524494,524676,182,55,4
_Tri_Interlaced_Fill_,524676,524859,183,55,4
Add_Galaxy_Map_Fields_2_,524859,525169,310,56,4
Add_Galaxy_Map_Fields_,525169,525360,191,56,4
Add_Moveable_Box_Fields_,525360,525565,205,56,4
Add_Resource_Box_Fields_,525565,525752,187,56,4
Add_Whole_Window_Field_,525752,525829,77,56,4
Box_Field_Selected_,525829,525912,83,56,4
Box_Fleet_Screen_Scanned_Ship_,525912,525967,55,56,5
Box_Fleet_Screen_Scanned_Star_,525967,526090,123,56,4
Box_Officer_Screen_Chosen_Star_,526090,526286,196,56,5
Box_Officer_Screen_Scanned_Star_,526286,526387,101,56,5
Box_Order_,526387,526443,56,56,4
Clear_Moveable_Box_Fields_,526443,526661,218,56,4
Display_Moveable_Box_Info_,526661,526767,106,56,4
Do_Fleet_Screen_Stuff_,526767,526842,75,56,5
Do_Officer_Screen_Stuff_,526842,527439,597,56,5
Draw_Galaxy_Map_Box_,527439,528537,1098,56,4
Draw_Moveable_Box_,528537,528721,184,56,4
Get_Galaxy_Map_Space_XY_,528721,528853,132,56,4
Get_Galaxy_Map_Star_XY_,528853,529036,183,56,4
Move_Box_To_Top_,529036,529225,189,56,4
Move_Moveable_Box_,529225,530294,1069,56,4
Moveable_Box_Dimensions_,530294,530397,103,56,4
Moveable_Box_Occluded_,530397,530645,248,56,4
Moveable_Box_Selected_,530645,530676,31,56,4
N_Moveable_Boxes_Selected_,530676,530717,41,56,4
Restore_Boxes_,530717,530841,124,56,4
Box_Was_Open_,530841,530851,10,56,4
Remove_Box_Check_,530851,530852,1,56,4
Save_And_Remove_Boxes_,530852,531008,156,56,4
Vanish_Fleet_Movement_Box_,531008,531132,124,56,4
Vanish_System_Display_Box_,531132,531211,79,56,4
Mouse_Within_Fleet_Box_,531211,531337,126,56,4
Draw_Input_Box_Popup_,531337,531380,43,57,5
Remapped_Input_Box_Popup_,531380,531412,32,57,4
Setup_Input_Box_Popup_,531412,532244,832,57,5
Input_Box_Popup_,532244,533034,790,57,4
Can_Change_Star_Name_,533034,533121,87,57,4
Change_Star_Name_Popup_,533121,533154,33,57,4
Change_Home_Star_Name_Popup_,533154,533186,32,57,4
Do_Change_Star_Name_,533186,533438,252,57,5
Star_Name_Popup_Screen_Center_X_,533438,533444,6,57,4
Star_Name_Popup_Screen_Center_Y_,533444,533450,6,57,4
Star_Name_Popup_Map_Center_X_,533450,533456,6,57,4
Star_Name_Popup_Map_Center_Y_,533456,533462,6,57,4
Star_Name_Popup_Main_X_,533462,533533,71,57,4
Star_Name_Popup_Main_Y_,533533,533591,58,57,4
Max_Pixel_Width_Star_Name_Can_Be_,533591,533934,343,57,4
Load_Officer_Picture_,533934,534041,107,58,4
Load_Darkened_Officer_Picture_,534041,534094,53,58,5
Add_Officer_Screen_Fields_,534094,535186,1092,58,5
Add_Skill_Description_Help_Fields_,535186,535589,403,58,5
Already_Hired_Message_,535589,535687,98,58,5
Assert_Marooned_Leaders_,535687,535800,113,58,4
Not_Enough_BCs_Message_,535800,535922,122,58,5
Ask_For_Hire_,535922,536178,256,58,5
Build_Captain_Id_List_,536178,536401,223,58,4
Captain_And_Ship_Icon_Selected_,536401,536458,57,58,4
Check_For_Colony_Calculation_Update_,536458,536538,80,58,5
Check_For_Officer_Level_,536538,536606,68,58,4
Check_Officer_Fields_,536606,537586,980,58,5
Deassign_Officer_,537586,537807,221,58,4
Decrement_Officer_ETA_,537807,537896,89,58,4
Deselect_Offpop_Icons_,537896,537936,40,58,4
Draw_Officer_Screen_,537936,539166,1230,58,4
Draw_Officer_Screen_To_Back_,539166,539493,327,58,5
Draw_Offscrn_Colony_Window_,539493,539519,26,58,5
Draw_Offscrn_Fleet_Ship_Window_,539519,539539,20,58,5
Draw_Skill_Icon_,539539,539568,29,58,5
Fade_Into_Leaders_Screen_,539568,539753,185,58,5
Fleet_Screen_Icon_Ship_Id_,539753,539827,74,58,4
Get_Advanced_Government_Tech_,539827,539914,87,58,4
Get_Advanced_Government_Type_,539914,539979,65,58,4
Get_Officer_Base_Level_,539979,540046,67,58,5
Get_Officer_Costs_,540046,540151,105,58,4
Get_Officer_Pictures_,540151,540338,187,58,5
Get_Random_Skills_,540338,540683,345,58,4
Get_Research_Cost_Skill_Value_,540683,540715,32,58,5
Get_Skill_Data_Max_Pixel_Width_,540715,540971,256,58,5
Hire_Officer_,540971,541115,144,58,5
Is_Fleet_Officer_Screen_,541115,541126,11,58,4
Kill_Officer_,541126,541268,142,58,4
Leader_Can_Be_Assigned_,541268,541307,39,58,5
Leaders_In_Hiring_Pool_,541307,541437,130,58,5
Load_Officer_Skill_Name_Descriptions_,541437,541558,121,58,5
Move_From_Limbo_To_Pool_,541558,541600,42,58,4
Move_Officer_To_Limbo_,541600,541859,259,58,5
Move_Officer_To_Pool_,541859,542012,153,58,4
Change_Screen_Type_,542012,542316,304,58,5
Officer_Exp_,542316,542333,17,58,4
Officer_Has_General_Skill_,542333,542366,33,58,4
Officer_Has_Special_Skill_,542366,542391,25,58,4
Officer_Skill_Value_,542391,542839,448,58,4
One_Leader_With_Galactic_Lore_,542839,542863,24,58,4
Bonus_For_Famous_Heroes_,542863,543017,154,58,5
Officer_Level_,543017,543057,40,58,4
Owned_Officer_Level_,543057,543143,86,58,4
Officer_Made_Level_Report_,543143,543389,246,58,4
Officer_Maintenance_,543389,543510,121,58,4
Officer_Screen_Text_Box_,543510,543546,36,58,5
Officer_Screen_User_Box_,543546,543666,120,58,5
Officer_Skill_Bonus_,543666,543773,107,58,4
Officers_Screen_,543773,546530,2757,58,4
Print_ETA_On_Officer_Picture_,546530,546787,257,58,4
Print_Galmap_Scanned_Ship_,546787,547754,967,58,4
Print_Officer_Data_,547754,549741,1987,58,4
Print_Officer_Skill_Help_,549741,550075,334,58,4
Print_Scanned_Ship_Name_,550075,550350,275,58,5
Random_Skill_,550350,550711,361,58,4
Random_Skill2_,550711,551121,410,58,4
Reload_Officer_Screen_Pictures_,551121,552165,1044,58,5
Reload_Officer_Skill_Icons_,552165,552219,54,58,4
Reload_Offscrn_Galaxy_Stars_,552219,552274,55,58,5
Reload_Offscrn_Small_Ship_Icons_,552274,552459,185,58,5
Restore_Officer_Structure_,552459,552487,28,58,4
Save_Officer_Structure_,552487,552509,22,58,4
Save_Officers_Original_Colony_Id_,552509,552553,44,58,5
Save_Officers_Original_Ship_Id_,552553,552597,44,58,5
Scan_Officer_Fields_,552597,553025,428,58,5
Scan_Offscrn_Big_Icon_Fields_,553025,553302,277,58,4
Initialize_Scroll_Bar_,553302,553359,57,58,5
Set_Officer_To_Player_,553359,553607,248,58,4
Ships_In_Same_Place_,553607,553668,61,58,4
Skill_Bonus_,553668,553710,42,58,4
Wrapper_For_Colony_Officer_Popup_Data_,553710,553790,80,58,4
Wrapper_For_Officer_Popup_Help_Fields_,553790,553932,142,58,4
Wrapper_For_Offscrn_Data_,553932,553984,52,58,5
Wrapper_For_Offscrn_Help_Fields_,553984,554104,120,58,5
Wrapper_For_Offscrn_System_Fields_,554104,554150,46,58,5
Wrapper_For_Offscrn_System_Popup_,554150,554281,131,58,5
Wrapper_To_Add_Officer_Popup_Help_Fields_,554281,554341,60,58,4
Officer_Name_,554341,554376,35,58,4
Leader_Name_,554376,554815,439,58,4
Officer_Status_Ok_,554815,554860,45,58,4
N_Fleet_Officers_Owned_By_Player_,554860,554927,67,58,4
N_Star_Officers_Owned_By_Player_,554927,555001,74,58,4
Hero_Slot_Open_,555001,555037,36,58,4
Chance_To_Hire_Hero_,555037,555424,387,58,4
Increase_Officer_Level_By_One_,555424,555561,137,58,4
Calculate_Officer_Cost_,555561,555565,4,58,4
Officer_Cost_,555565,555622,57,58,4
Random_Officer_Check_,555622,555732,110,58,4
Generate_Random_Officer_,555732,555821,89,58,4
Select_Leader_For_Hire_,555821,556077,256,58,5
Leader_Available_For_Hire_,556077,556132,55,58,4
Give_Officer_XP_,556132,556377,245,58,4
Find_Selected_Leader_,556377,556941,564,58,5
Marooned_Hero_At_Star_Can_Join_,556941,557154,213,58,4
Do_Hire_Officer_,557154,557275,121,58,5
Give_Player_Loknar_Special_,557275,557521,246,58,4
Make_Loknar_Message_,557521,557698,177,58,5
Rescued_Loknar_Popup_,557698,557750,52,58,4
Get_Random_Antaran_Tech_,557750,557923,173,58,5
Get_Available_Antaran_Tech_,557923,558008,85,58,5
Assign_Loknar_Ship_To_Player_,558008,558217,209,58,5
Allocate_Adv_Civ_Game_Officers_,558217,558643,426,58,4
Get_N_Skills_Per_Officer_Displayed_,558643,558892,249,58,5
Set_Officer_Screen_Help_,558892,558961,69,58,5
Dismiss_Officer_,558961,559099,138,58,5
Assign_Captain_,559099,560163,1064,58,5
Ai_Assign_Leader_To_Ship_,560163,560263,100,58,4
Ai_Assign_Leader_To_Star_,560263,560363,100,58,4
Assign_Leader_To_Star_,560363,560557,194,58,5
Assign_Leader_To_Ship_,560557,560715,158,58,5
Get_Ship_Leader_ETA_,560715,560962,247,58,5
Get_Star_Leader_ETA_,560962,561134,172,58,5
Leader_Cheat_Popup_,561134,561699,565,58,4
Give_Leader_Specials_To_Player_,561699,562011,312,58,5
Best_Diplomat_Skill_Bonus_,562011,562179,168,58,4
Get_Skill_Description_LBX_Name_,562179,562243,64,58,5
Officer_Is_Female_,562243,562285,42,58,5
Get_Italian_The_,562285,562433,148,58,5
_max_planet_flags,562433,562466,33,59,5
Set_Auto_Colonize_Flag_,562466,562477,11,59,5
Colony_Ship_Auto_Colonization_,562477,562495,18,59,4
Add_Colony_Ship_Icon_Field_,562495,562571,76,59,5
Add_Outpost_Ship_Icon_Field_,562571,562641,70,59,5
Add_Plntsum_Fields_,562641,563547,906,59,5
Absolute_Distance_,563547,563585,38,59,4
Add_Planet_Summary_Bar_Field_,563585,563647,62,59,5
Add_PlntSum_Galaxy_Map_Fields_,563647,563823,176,59,5
Allocate_Space_For_Summary_Screen_,563823,563962,139,59,5
Build_Ship_Summary_,563962,564743,781,59,5
Check_For_Colony_And_Outpost_Ships_,564743,565026,283,59,5
Clear_Planet_Explored_Flags_,565026,565048,22,59,5
Player_Colors_,565048,565323,275,59,5
Colony_Owner_Colors_,565323,565371,48,59,5
Determine_Button_Status_,565371,565541,170,59,5
Draw_Rotating_Planets_,565541,565744,203,59,5
Fill_Summary_Screen_Scroll_Bar_,565744,565946,202,59,4
Filter_Explored_Planets_,565946,566513,567,59,5
Get_Colony_Outpost_Marker_XY_,566513,566760,247,59,5
Get_ETA_To_Star_,566760,566891,131,59,5
Load_Planet_Segment_,566891,566944,53,59,5
Load_Planet_Pictures_,566944,566985,41,59,5
Load_Planet_Summary_Ship_Icon_,566985,567049,64,59,5
Load_Planet_Summary_Pictures_,567049,567690,641,59,5
Planet_Has_Adverse_Gravity_,567690,567724,34,59,5
Planet_Has_Been_Visited_,567724,567778,54,59,5
Planet_Has_Hostile_Environment_,567778,567800,22,59,5
Planet_Has_Players_Colony_,567800,567854,54,59,5
First_Planet_In_Summary_List_,567854,567939,85,59,5
Planet_Summary_List_Id_,567939,568001,62,59,5
Planet_In_Range_Of_A_Colony_,568001,568045,44,59,5
Planet_Is_Enemy_Controlled_,568045,568300,255,59,5
Planet_Is_Mineral_Scarce_,568300,568333,33,59,5
Planet_Is_Outpost_Planet_,568333,568375,42,59,5
Planet_Summary_Id_,568375,568441,66,59,5
Print_Colony_Outpost_Marker_,568441,569095,654,59,5
Productivity_Penalty_,569095,569202,107,59,5
Reset_Ship_To_Star_Distances_,569202,569421,219,59,5
Scan_Summary_Box_Fields_,569421,569985,564,59,5
Send_Colony_Button_Selectable_,569985,569991,6,59,5
Nearest_Ship_Id_,569991,570055,64,59,5
Send_Nearest_Ship_,570055,571371,1316,59,5
Send_Outpost_Button_Selectable_,571371,571377,6,59,5
Set_Colony_Ship_To_Star_Distances_,571377,571800,423,59,5
Set_Outpost_Ship_To_Star_Distances_,571800,572224,424,59,5
Set_Planet_Explored_Flags_,572224,572309,85,59,5
Ship_Is_Not_Colonizing_,572309,572397,88,59,5
Sort_Planet_Summary_,572397,572486,89,59,5
Draw_Nearest_Ship_Directional_Line_,572486,573141,655,59,5
Summary_Found_Colony_Ship_,573141,573176,35,59,5
Summary_Found_Outpost_Ship_,573176,573212,36,59,5
Summary_Planet_Index_,573212,573296,84,59,5
Summary_Screen_Print_Data_,573296,574976,1680,59,5
Summary_Screen_Print_Scanned_,574976,575986,1010,59,5
Summary_Ship_Index_,575986,576052,66,59,4
Draw_Colony_Ship_Icon_,576052,576111,59,59,5
Draw_Outpost_Ship_Icon_,576111,576160,49,59,5
Wrapper_For_Planet_Summary_Galaxy_Map_,576160,576767,607,59,5
qsort_by_climate_,576767,576780,13,59,5
qsort_by_max_population_,576780,576791,11,59,5
qsort_by_minerals_,576791,576804,13,59,5
Undo_Send_Order_,576804,577448,644,59,5
Update_Ship_Etas_,577448,577734,286,59,5
Draw_Mini_Planet_Summary_Screen_,577734,578130,396,59,4
Draw_Planet_Summary_Screen_,577734,578130,396,59,5
Planet_Summary_Screen_,578130,579562,1432,59,4
Add_Hi_Score_Screen_Fields_,579562,579606,44,60,5
Build_Captured_Colonists_Array_,579606,579916,310,60,5
Build_Pop_Array_,579916,579959,43,60,5
Calculate_Hi_Scores_,579959,580385,426,60,5
Captured_Antares_,580385,580409,24,60,5
Captured_Orion_,580409,580433,24,60,5
Do_Calculate_Hi_Score_,580433,580502,69,60,4
Draw_Antares_Score_,580502,580539,37,60,5
Draw_Cap_Pop_,580539,580571,32,60,5
Draw_Captured_Colonies_Score_,580571,580671,100,60,5
Draw_Council_Score_,580671,580726,55,60,5
Draw_Total_Score_,580726,581367,641,60,5
Draw_Eliminated_Race_Pictures_,581367,582012,645,60,5
Draw_Elimination_Score_,582012,582151,139,60,5
Draw_Generic_Score_,582151,582266,115,60,5
Draw_Hi_Score_Screen_,582266,582573,307,60,5
Draw_Orion_Score_,582573,582609,36,60,5
Draw_Pop_,582609,583169,560,60,5
Draw_Population_Score_,583169,583242,73,60,5
Draw_Reg_Pop_,583242,583268,26,60,5
Draw_Technology_Score_,583268,583307,39,60,5
Draw_Time_Score_,583307,583441,134,60,5
Get_Antares_Score_,583441,583477,36,60,5
Get_Captured_Colonist_Score_,583477,583533,56,60,5
Get_Hall_Of_Fame_Colors_,583533,583616,83,60,5
Get_Hi_Score_Colors_,583616,583756,140,60,5
Get_Elimination_Score_,583756,583843,87,60,5
Get_Orion_Score_,583843,583879,36,60,5
Get_Population_Score_,583879,583947,68,60,5
Get_Technology_,583947,584051,104,60,5
Get_Technology_Score_,584051,584083,32,60,5
Get_Time_Score_,584083,584154,71,60,5
Get_Total_Population_,584154,584215,61,60,5
Get_Won_Council_Score_,584215,584251,36,60,5
Hi_Score_Screen_,584251,584514,263,60,4
Load_Hi_Score_Screen_,584514,584754,240,60,5
Won_Council_Vote_,584754,584778,24,60,5
Print_Score_String_,584778,585096,318,60,5
Player_Score_,585096,585185,89,60,4
Load_Hall_Of_Fame_Screen_,585185,585283,98,60,5
Draw_Hall_Of_Fame_Screen_,585283,586374,1091,60,5
Hall_Of_Fame_Screen_,586374,586823,449,60,4
qsort_hof_scores_descending_,586823,586874,51,60,5
qsort_hof_scores_ascending_,586874,586925,51,60,5
Read_HOF_File_,586925,587013,88,60,5
Write_HOF_File_,587013,587071,58,60,5
Write_Score_To_File_,587071,587072,1,60,4
Create_Default_HOF_File_,587072,587538,466,60,5
End_Of_Game_Hi_Score_,587538,588161,623,60,4
Init_Hall_Of_Fame_Screen_,588161,588758,597,60,5
HOF_Version_Number_,588758,588777,19,60,5
Sort_HOF_Scores_,588777,588839,62,60,5
Move_Sorted_HOF_Data_,588839,589040,201,60,5
Set_Hi_Score_Pop_Icon_Ids_,589040,589622,582,60,5
Get_From_Tmp_Pop_,589622,589804,182,60,5
ascending_qsort_uchar_,589804,589813,9,60,5
Handle_Vertical_Scroll_Field_,589813,589888,75,61,4
Get_Vertical_Scroll_Bar_First_Item_,589888,590065,177,61,4
Get_Vertical_Scroll_Bar_Height_,590065,590117,52,61,4
Set_Vertical_Scroll_Bar_Maxima_,590117,590173,56,61,4
Scroll_Down_One_Item_,590173,590278,105,61,4
Scroll_Up_One_Item_,590278,590374,96,61,4
Draw_Generic_Vertical_Scroll_Bar_,590374,590597,223,61,4
Build_Ship_Icons_,590597,591631,1034,62,4
Draw_Ship_Icons_,591631,591816,185,62,4
Set_Ship_Icon_XYs_,591816,591885,69,62,4
Do_Ship_Destination_Lines_,591885,592344,459,62,4
Add_Ship_Icon_Fields_,592344,592476,132,62,4
Get_Ship_Icon_Coords_,592476,592816,340,62,4
Get_XYs_For_Orbiting_Ships_,592816,593109,293,62,5
Get_Ship_Icon_Coords_In_Space_,593109,593272,163,62,4
Get_Ship_Icon_Pict_Seg_,593272,593706,434,62,4
Get_Stack_Orbiting_Star_,593706,593832,126,62,4
Overlapped_Ship_Icon_Button_,593832,594263,431,62,4
Build_Ship_Id_List_,594263,594368,105,62,4
Draw_Directional_Multi_Colored_Line_,594368,594585,217,62,4
Draw_Ship_Destination_Line_,594585,594753,168,62,4
Enemy_Ship_Heading_Toward_Our_Colony_,594753,594864,111,62,4
Print_Eta_On_Ship_Icon_,594864,595029,165,62,4
Load_Highlighted_Ship_Icon_Picture_,595029,595501,472,62,4
qsort_ship_icon_,595501,595514,13,62,5
Kill_Ship_,595514,595647,133,62,4
Build_Nonplayer_Ship_,595647,595810,163,62,4
Set_Nonplayer_Ship_XY_,595810,596515,705,62,4
Set_Nonplayer_Ship_Destination_,596515,596730,215,62,4
Deploy_Ships_To_Attack_Antares_,596730,596878,148,62,4
Reset_Ships_Attacking_Antares_,596878,596937,59,62,4
Get_Ship_Icon_Dimensions_,596937,596980,43,62,4
Clear_Auto_Colonization_Flag_,596980,597005,25,62,4
Clear_All_Ships_Auto_Colonization_Flag_,597005,597070,65,62,4
_flag_replacement_colors,597070,597108,38,63,5
Add_System_Display_Popup_Fields_,597108,598030,922,63,4
Build_System_Popup_Ships_,598030,598221,191,63,5
Clear_System_Display_Loaded_Flag_,598221,598252,31,63,4
Clear_System_Display_Ship_Fields_,598252,598307,55,63,4
Do_Print_Planet_Info_,598307,599779,1472,63,5
Do_Print_System_Ship_Data_,599779,601105,1326,63,5
Draw_Colony_Marker_,601105,601190,85,63,5
Draw_Gate_Icons_,601190,601389,199,63,5
Draw_Outpost_Marker_,601389,601468,79,63,5
Draw_Planet_With_Pierced_Ring_,601468,602149,681,63,5
Draw_Sun_Seg_,602149,602309,160,63,4
Draw_System_Display_Border_,602309,602365,56,63,5
Draw_System_Display_Planets_,602365,602586,221,63,5
Draw_System_Display_Popup_,602586,604693,2107,63,4
Draw_System_Highlight_,604693,605124,431,63,5
Draw_System_Ship_Icons_,605124,605482,358,63,5
Get_Gate_Icon_XY_,605482,605544,62,63,5
Get_Planet_Info_Box_Dimensions_,605544,605572,28,63,5
Get_Rotating_Planet_Segment_,605572,605757,185,63,4
Get_System_Display_Ship_Icon_XY_,605757,605948,191,63,5
Get_System_Ship_Info_Box_Dimensions_,605948,605985,37,63,5
Hide_System_Display_,605985,606182,197,63,5
Init_System_Display_,606182,606286,104,63,4
Load_New_System_Display_,606286,607023,737,63,5
N_Ships_By_Type_At_Location_,607023,607270,247,63,4
Need_To_Reload_System_Display_,607270,607386,116,63,5
Global_Data_Seg_Ok_,607386,607484,98,63,5
Ok_To_View_System_,607484,607551,67,63,4
Potential_Colony_Info_Popup_,607551,608649,1098,63,4
Print_Gate_Info_,608649,609295,646,63,5
Print_Planet_Info_,609295,609345,50,63,5
Print_System_Display_Box_Title_,609345,609713,368,63,5
Print_System_Ship_Data_,609713,609753,40,63,4
