caller,caller_offset,jump_site,target_owner,target_owner_offset,target,target_delta
Get_Ship_Class_,326279,326579,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,326596,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,326660,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,326710,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,326753,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,326963,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,327047,Special_Devices_Available_,326122,326270,148
Add_Beam_Weapon_To_Design_,332927,333440,Add_Missile_Weapon_To_Design_,329593,329897,304
Hotseat_Screen_,338146,338866,Draw_Hotseat_Screen_,337622,337878,256
Advanced_Civilization_Colonies_,339056,339603,Build_Parsec_Star_Distances_,338922,339049,127
Build_Adv_Civ_Star_List_,339608,340016,Build_Parsec_Star_Distances_,338922,339049,127
Build_Adv_Civ_Planet_List_,340021,340305,Build_Parsec_Star_Distances_,338922,339049,127
Get_Worth_For_All_Planets_,340310,340564,Build_Parsec_Star_Distances_,338922,339049,127
Get_Next_Adv_Civ_Planet_,341020,341362,Proximity_Bonus_,340754,340943,189
Choose_Adv_Civ_Planets_,341367,342083,Build_Parsec_Star_Distances_,338922,339049,127
Get_Saved_Planet_Worth_,342113,342180,Proximity_Bonus_,340754,340943,189
Twiddle_Selected_Adv_Civ_Planets_,342185,342869,Build_Parsec_Star_Distances_,338922,339049,127
Get_Players_Planet_Worthiness_Average_,343200,343301,Build_Parsec_Star_Distances_,338922,339049,127
Antaran_Offensive_Force_,343667,343705,Antaran_Defensive_Force_,343514,343552,38
Antarans_Should_Attack_,343773,343862,Build_Antaran_Defensive_Ships_,343964,344005,41
Antarans_Should_Attack_,343773,343962,Build_Antaran_Defensive_Ships_,343964,344005,41
Build_Antaran_Offensive_Ships_,344011,344046,Build_Antaran_Defensive_Ships_,343964,343996,32
Deploy_Antaran_Ships_,344992,345503,Build_Antaran_Defensive_Ships_,343964,344005,41
Next_Antaran_Ship_Size_,345997,346066,Antaran_Defensive_Force_,343514,343552,38
Add_Replacement_Weapon_Fields_,347028,348803,Print_Main_Weapon_Box_,355564,357096,1532
Draw_Generic_Replacement_Box_,350040,350286,Generic_Replacement_Box_,352318,352872,554
Draw_Special_Systems_Replacement_Box_,350291,350494,Draw_Generic_Replacement_Box_,350040,350266,226
Draw_Special_Systems_Scroll_Bar_,350499,350758,Generic_Replacement_Box_,352318,352872,554
Draw_Weapons_Arc_Box_,350763,351008,Add_Special_System_Fields_,348808,349399,591
Draw_Weapons_Mod_Box_,351013,351277,Add_Special_System_Fields_,348808,349399,591
Draw_Weapons_Rack_Box_,351282,351477,Add_Special_System_Fields_,348808,349399,591
Draw_Weapons_Replacement_Box_,351482,352046,Draw_Generic_Replacement_Box_,350040,350266,226
Draw_Weapons_Scroll_Bar_,352051,352313,Draw_Special_Systems_Scroll_Bar_,350499,350753,254
Generic_Replacement_Box_,352318,352873,Special_Systems_Box_,362325,363831,1506
New_Mod_Space_,354416,354545,Mod_Allowed_On_Weapon_Type_,354188,354295,107
New_Mod_Space_,354416,354552,Mod_Allowed_On_Weapon_Type_,354188,354295,107
Print_Computer_Data_,354557,355559,Print_Main_Weapon_Box_,355564,357102,1538
Print_Shield_Data_,357138,358010,Print_Main_Weapon_Box_,355564,357033,1469
Print_Special_System_Data_,358015,359362,Print_Main_Weapon_Box_,355564,357046,1482
Print_Weapon_Mod_Help_Description_,359367,359602,Generic_Replacement_Box_,352318,352867,549
Print_Weapon_Modification_Message_,359631,360011,Special_Systems_Box_,362325,363830,1505
Redraw_Main_Design_Screen_To_Background_,360016,360087,Draw_Darkened_Design_Screen_,349497,349562,65
Set_Up_Weapon_Display_,360444,360818,Generic_Replacement_Box_,352318,352872,554
Space_With_Weapons_,361101,361242,Special_Systems_Box_,362325,363831,1506
Special_System_Choices_,361491,361998,Generic_Replacement_Box_,352318,352872,554
Special_System_Exclusion_,362003,362182,Add_Special_System_Fields_,348808,349399,591
Update_Field_Item_Chosen_,364003,364091,Mod_Allowed_On_Weapon_Type_,354188,354295,107
Valid_Modifications_,364682,364958,Generic_Replacement_Box_,352318,352872,554
Weapon_Choices_,365083,365850,Generic_Replacement_Box_,352318,352872,554
Weapon_Choices_,365083,365860,Generic_Replacement_Box_,352318,352872,554
Weapons_Replacement_Box_,365955,368170,Special_Systems_Box_,362325,363824,1499
Build_Design_Template_,370337,370627,Add_Design_Buttons_,368226,369630,1404
Check_For_Auto_Repeat_,371610,371641,Add_Design_Buttons_,368226,369630,1404
Check_For_Auto_Repeat_,371610,372025,Add_Design_Buttons_,368226,369630,1404
Clear_Design_For_Colony_Builds_,373570,373679,Build_Initial_Design_Template_,370632,371477,845
Clear_Weapon_Slot_,373800,373970,Add_Design_Buttons_,368226,369631,1405
Design_Screen_,375218,376962,Add_Design_Buttons_,368226,369631,1405
Design_Template_Costs_,376967,377474,Add_Design_Buttons_,368226,369630,1404
Design_Template_Space_Requirements_,377479,377977,Add_Design_Buttons_,368226,369630,1404
Draw_Down_Buttons_,378628,378908,Add_Design_Buttons_,368226,369630,1404
Draw_Down_Buttons_,378628,378988,Add_Design_Buttons_,368226,369630,1404
Load_Design_Screen_Pictures_,379277,380966,Add_Design_Buttons_,368226,369630,1404
Number_Of_Weapons_Loaded_,381329,381362,Number_Of_Special_Systems_,381287,381323,36
Print_Current_Design_,381596,385144,Design_Screen_,375218,376961,1743
Replacement_Exists_,385500,385595,Add_Design_Buttons_,368226,369631,1405
Space_For_System_Replacement_,386094,386412,Add_Design_Buttons_,368226,369630,1404
Total_Design_Cost_,386935,387098,Current_Design_Base_Combat_Speed_,374890,374988,98
Total_Space_Used_,387170,387285,Add_Design_Buttons_,368226,369631,1405
Update_Player_Design_,387656,388207,Build_Initial_Design_Template_,370632,371477,845
Miniaturization_Category_,389404,389467,Number_Of_Special_Systems_,381287,381323,36
Miniaturization_Category_,389404,389515,Number_Of_Special_Systems_,381287,381323,36
Miniaturization_Category_,389404,389575,Number_Of_Special_Systems_,381287,381323,36
Set_Design_Screen_Help_List_,390468,390588,Set_Null_Modem_Setup_Screen_Help_List_,391967,392020,53
Set_Main_Game_Screen_Help_List_,391206,391222,Set_PlntSum_Screen_Help_List_,390445,390461,16
Set_Scrap_Freighters_Help_List_,391227,391243,Set_PlntSum_Screen_Help_List_,390445,390461,16
Set_Load_Game_Screen_Help_List_,391248,391264,Set_PlntSum_Screen_Help_List_,390445,390461,16
Set_Save_Game_Screen_Help_List_,391269,391285,Set_PlntSum_Screen_Help_List_,390445,390461,16
Set_Options_Game_Screen_Help_List_,391290,391306,Set_PlntSum_Screen_Help_List_,390445,390461,16
Set_Fleet_Screen_Help_List_,391311,391514,Set_Main_Screen_Help_List_,389760,390433,673
Set_ColOff_Screen_Help_List_,391519,391608,Set_Main_Screen_Help_List_,389760,390433,673
Set_ShipOff_Screen_Help_List_,391613,391867,Get_Application_Description_,392170,392275,105
Set_Main_Menu_Screen_Help_List_,391872,391888,Set_PlntSum_Screen_Help_List_,390445,390461,16
Set_Multi_Player_Setup_Screen_Help_List_,391893,391909,Set_PlntSum_Screen_Help_List_,390445,390461,16
Set_Modem_Setup_Screen_Help_List_,391914,391965,Set_Null_Modem_Setup_Screen_Help_List_,391967,392018,51
Set_Input_Box_Help_List_,392030,392046,Set_PlntSum_Screen_Help_List_,390445,390461,16
Set_Diplomacy_Request_Help_List_,392051,392070,Set_Null_Modem_Setup_Screen_Help_List_,391967,391986,19
Set_Hotseat_Setup_Screen_Help_List_,392072,392091,Set_Null_Modem_Setup_Screen_Help_List_,391967,391986,19
Get_Help_LBX_Message_,392281,392316,Get_Application_Description_,392170,392205,35
Add_Fleet_Movement_Box_Fields_,392968,393733,Add_Added_Buttons_,392484,392962,478
Check_For_Build_Outpost_Button_,393849,393866,Check_For_Attack_Antares_Button_,393833,393843,10
Check_For_Colonization_Button_,393868,393885,Check_For_Attack_Antares_Button_,393833,393843,10
Check_For_Engage_Enemy_Forces_Button_,393887,393904,Check_For_Attack_Antares_Button_,393833,393843,10
Check_For_Transport_Troops_Button_,393906,393923,Check_For_Attack_Antares_Button_,393833,393843,10
Draw_Damage_Bars_,393962,394401,Draw_Large_Fleet_Box_Frame_,394406,394748,342
Draw_Small_Fleet_Box_Frame_,394754,395142,Draw_Large_Fleet_Box_Frame_,394406,394708,302
Draw_Fleet_Movement_Box_,395381,397053,Draw_Fltpop_Scroll_Bar_,395147,395375,228
Draw_Fleet_Pop_Added_Buttons_,397058,397462,Add_Added_Buttons_,392484,392962,478
Fleet_Box_Height_,397798,398035,Draw_Fltpop_Scroll_Bar_,395147,395374,227
Get_Fleetpop_Scanned_Ship_Info_,398286,398400,Draw_Fltpop_Scroll_Bar_,395147,395375,228
Get_Fleetpop_Scanned_Ship_Info_,398286,398432,Draw_Fltpop_Scroll_Bar_,395147,395375,228
Print_Fleet_Box_Info_,398598,399869,Draw_Fleet_Movement_Box_,395381,397046,1665
Print_Fleet_Box_Info_,398598,399890,Draw_Fleet_Movement_Box_,395381,397046,1665
Fleet_Box_Data_,399927,400137,First_Unselected_Icon_,397467,397672,205
Set_Attack_Antares_Button_Flag_,400615,400851,Draw_Fltpop_Scroll_Bar_,395147,395374,227
Set_Build_Outpost_Button_Flag_,400856,400880,Draw_Fltpop_Scroll_Bar_,395147,395374,227
Set_Build_Outpost_Button_Flag_,400856,401200,Draw_Fltpop_Scroll_Bar_,395147,395374,227
Set_Colonize_Button_Flag_,401205,401560,Draw_Fltpop_Scroll_Bar_,395147,395374,227
Set_Engage_Enemy_Forces_Flag_,401565,401591,Draw_Fltpop_Scroll_Bar_,395147,395374,227
Set_Engage_Enemy_Forces_Flag_,401565,401894,Draw_Fltpop_Scroll_Bar_,395147,395374,227
Set_Fleet_Movement_Icon_Selections_,402078,402241,Add_Added_Buttons_,392484,392962,478
Set_Transport_Troops_Flag_,402246,402270,Draw_Fltpop_Scroll_Bar_,395147,395374,227
Set_Transport_Troops_Flag_,402246,402634,Draw_Fltpop_Scroll_Bar_,395147,395374,227
Draw_Fltscrn_Ship_Destination_Lines_,406769,407453,Draw_Fltscrn_Big_Ship_Icons_,406230,406690,460
Fill_FltScrn_Scroll_Bar_,407667,407931,Draw_Fltscrn_Big_Ship_Icons_,406230,406690,460
Fleet_Screen_,407936,410824,Draw_Fltscrn_Big_Ship_Icons_,406230,406691,461
Reload_Fleet_Screen_,411210,411899,Draw_Fltscrn_Big_Ship_Icons_,406230,406690,460
Reload_Small_Ship_Icons_,411959,412139,Draw_Fltscrn_Big_Ship_Icons_,406230,406690,460
Draw_Fltscrn_Relocation_Lines_,414330,414611,Draw_Fltscrn_Big_Ship_Icons_,406230,406690,460
N_Fltscrn_Ships_Selected_,414616,414673,First_Selected_Ship_,413400,413454,54
Add_Fltscrn_Small_Icon_Fields_,415186,415290,Button_Underneath_,415961,416061,100
Button_Underneath_,415961,416062,Draw_Captains_Picture_,416217,416601,384
Fltscrn_Move_Ships_,417096,417507,Draw_Captains_Picture_,416217,416600,383
Fltscrn_Ships_To_Be_Displayed_,417512,417618,Button_Underneath_,415961,416059,98
Fltscrn_Ships_To_Be_Displayed_,417512,417635,Button_Underneath_,415961,416059,98
Fltscrn_Ships_To_Be_Displayed_,417512,417642,Button_Underneath_,415961,416059,98
Fltscrn_Ships_To_Be_Displayed_,417512,417652,Button_Underneath_,415961,416059,98
Print_Fltscrn_Scanned_Star_Name_,418213,419167,Button_Underneath_,415961,416061,100
Print_Scanned_Ship_Data_,419598,420037,Draw_Captains_Picture_,416217,416594,377
Print_Scanned_Ship_Data_,419598,421661,Draw_Captains_Picture_,416217,416594,377
Do_Confirmation_Box_,423512,424027,Message_Box_Exploding_,422970,423505,535
Get_Planet_Name_No_Prime_,424770,424780,Get_Planet_Name_,424744,424757,13
Colony_Player_Color_,424991,425009,Star_Player_Palette_Color_,429232,429248,16
Colony_Player_Palette_Color_,425014,425044,Star_Player_Palette_Color_,429232,429260,28
Ship_Owner_,425973,425998,Ship_Icon_Y_,428290,428388,98
Planet_Player_Color_,427009,427025,Star_Player_Palette_Color_,429232,429234,2
Planet_Player_Palette_Color_,427030,427064,Star_Player_Palette_Color_,429232,429248,16
Ship_Icon_Id_From_Node_Ptr_,428032,428148,Set_All_Colony_Auto_Select_Flags_,427271,427494,223
Ship_Icon_Star_Id_,428206,428242,Ship_Stack_Star_Id_,428947,428971,24
Ship_Player_Palette_Color_,428487,428495,Star_Player_Palette_Color_,429232,429248,16
Ship_Stack_From_Saved_Array_,428500,428725,Set_All_Colony_Auto_Select_Flags_,427271,427493,222
Ship_Stack_From_Ship_Id_,428814,428942,Set_All_Colony_Auto_Select_Flags_,427271,427493,222
Ship_Stack_X_,428978,429002,Ship_Icon_X_,428247,428283,36
Ship_Stack_Y_,429007,429031,Ship_Icon_Y_,428290,428326,36
System_Ship_Chosen_To_Ship_Icon_Id_,429298,429369,Fleet_Movement_Icon_Ship_Stack_,425843,425942,99
Owner_Of_First_Ship_In_Fleet_Box_,429434,429441,Ship_Stack_Owner_,425961,425962,1
Nearest_Star_To_XY_,429446,429570,Set_All_Colony_Auto_Select_Flags_,427271,427493,222
Get_Up_Scaled_Value_,430719,430737,Get_Scaled_Value_,430700,430713,13
Get_Zoom_Ratio_Value_,430739,430759,Get_Scaled_Value_,430700,430713,13
Harold_Init_,431660,431724,Harold_Defaults_,430787,431652,865
N_Colony_Owners_,432505,432626,Confirm_Planet_And_Star_Index_Link_,429671,429892,221
N_Food_Planets_In_System_,432872,432936,Enemy_Has_Colony_At_Star_,430135,430237,102
N_Planets_In_System_,432941,433006,Enemy_Has_Colony_At_Star_,430135,430237,102
N_Satellites_,433070,433114,Enemy_Has_Colony_At_Star_,430135,430237,102
Planet_Number_,433259,433357,Confirm_Planet_And_Star_Index_Link_,429671,429892,221
Player_Has_Dimensional_Portal_,433488,433510,Player_Has_Artemis_Net_,433401,433423,22
Player_Has_Stargate_,433642,433665,Player_Has_Jumpgate_,433512,433535,23
Star_Guarded_By_Monster_,435322,435486,XY_To_Star_Id_,435171,435258,87
Load_H_Strings_,436246,436619,Confirm_Planet_And_Star_Index_Link_,429671,429893,222
Write_Language_Setting_File_,436857,436927,Get_Font_File_,436787,436843,56
Load_Leader_Titles_,437011,437133,Confirm_Planet_And_Star_Index_Link_,429671,429892,221
Assign_Home_Star_Names_,437361,437518,Get_Orion_Star_Id_,441735,442199,464
Build_Min_Star_Distances_,438304,438447,Get_Orion_Star_Id_,441735,442199,464
Enforce_3_Planet_Minimum_,438554,438797,Get_Orion_Star_Id_,441735,442199,464
Ensure_At_Least_1_Food_Planet_,439857,440520,Get_Orion_Star_Id_,441735,442199,464
Generate_Home_Worlds_,440525,441083,Get_Orion_Star_Id_,441735,442199,464
Generate_Home_Worlds_,440525,441265,Get_Orion_Star_Id_,441735,442199,464
Get_Orion_Star_Id_,441735,442200,Generate_Orion_,441276,441729,453
Modify_Home_Worlds_,443567,444138,Get_Orion_Star_Id_,441735,442199,464
Randomize_Home_Worlds_,444143,444216,Generate_Orion_,441276,441729,453
Set_Up_Home_Gen_Msg_,444302,444641,Get_Orion_Star_Id_,441735,442199,464
Usable_Orbit_,445621,445854,Get_Orion_Star_Id_,441735,442197,462
Make_System_Monsters_,445893,446513,Generate_Orion_,441276,441722,446
Do_Load_Game_Popup_,449142,449852,Check_For_Saved_Games_,448852,449036,184
Do_Main_Game_Popup_,449857,450570,Do_Save_Game_Popup_,450900,451851,951
Do_Options_Game_Popup_,450575,450895,Check_For_Saved_Games_,448852,449036,184
Do_Save_Game_Popup_,450900,451852,Check_For_Saved_Games_,448852,449037,185
Get_File_Date_String_,452105,452208,Add_Game_Popup_Fields_,446561,448652,2091
Get_File_Date_String_,452105,452284,Add_Game_Popup_Fields_,446561,448652,2091
Get_Save_Game_Date_Strings_,452434,452602,Check_For_Saved_Games_,448852,449036,184
Get_Star_Date_Strings_,452607,452878,Add_Game_Popup_Fields_,446561,448652,2091
Print_Options_To_Bitmap_,454065,454082,Print_Load_Save_To_Bitmap_,453965,453982,17
_Draw_Load_Save_Game_Popup_,455174,456444,Check_For_Saved_Games_,448852,449036,184
_Draw_Main_Game_Popup_,456449,457226,Check_For_Saved_Games_,448852,449036,184
_Draw_Main_Game_Popup_,456449,457251,Check_For_Saved_Games_,448852,449036,184
_Draw_Options_Game_Popup_,457256,459034,Do_Save_Game_Popup_,450900,451845,945
_Game_Popup_,459055,459658,Check_For_Saved_Games_,448852,449036,184
_Game_Popup_,459055,459723,Check_For_Saved_Games_,448852,449036,184
Set_Up_Load_Save_Popup_,460118,460371,Check_For_Saved_Games_,448852,449036,184
Remove_Embedded_Special_Codes_,460376,460445,Add_Game_Popup_Fields_,446561,448652,2091
Draw_Darkened_New_Game_Button_,460909,460944,Draw_Darkened_Load_Button_,460865,460900,35
Add_Fields_For_Language_,461230,461511,Check_For_Saved_Games_,448852,449036,184
Draw_Credits_,463175,463740,Do_Main_Menu_File_Animation_,462260,463040,780
Main_Menu_Fade_Function2_,463765,463773,Main_Menu_Fade_Function_,463745,463753,8
Draw_Main_Menu_Screen_,463780,464166,Do_Main_Menu_File_Animation_,462260,463040,780
Load_Credits_,464235,464621,Do_Main_Menu_File_Animation_,462260,463040,780
Main_Menu_Screen_,464626,465593,Do_Main_Menu_File_Animation_,462260,463040,780
Reload_Main_Menu_Screen_,465598,465763,Do_Main_Menu_File_Animation_,462260,463041,781
Add_Star_Fields_,467631,467779,Draw_Black_Holes_,474105,474367,262
Check_Mouse_XY_Fields_,469697,469987,Draw_Black_Holes_,474105,474367,262
Do_Fleet_Popup_,471473,471718,Check_Hot_Keys_,469001,469691,690
Do_Fleet_Popup_,471473,472076,Check_Hot_Keys_,469001,469691,690
Do_Reply_To_Diplomacy_Request_,472398,472676,Draw_Black_Holes_,474105,474367,262
Draw_A_Gate_Icon_,472897,473853,Draw_Black_Holes_,474105,474367,262
Draw_A_Star_,473858,474100,Draw_Black_Holes_,474105,474367,262
Draw_ETA_Destination_Line_,474602,474872,Draw_Black_Holes_,474105,474367,262
Draw_Fleet_Box_Selected_Ship_Seg_,476083,476169,Do_System_Popup_,472681,472891,210
Draw_Main_Screen_,476501,477639,Draw_Black_Holes_,474105,474367,262
Draw_Main_Screen_For_Zooming_,478158,478637,Draw_Black_Holes_,474105,474367,262
Draw_Nebulae_,479119,479242,Draw_Black_Holes_,474105,474367,262
Draw_Player_Done_Lights_,479756,480027,Draw_Black_Holes_,474105,474367,262
Draw_Relocation_Links_,480032,480206,Draw_Black_Holes_,474105,474358,253
Draw_Reply_To_Diplomacy_Request_Popup_,480211,480443,Draw_Black_Holes_,474105,474367,262
Draw_Wormhole_Links_,480659,480849,Draw_Black_Holes_,474105,474362,257
Get_Star_Id_For_Officers_Screen_,482269,482437,Draw_Black_Holes_,474105,474368,263
Get_Star_Id_For_Officers_Screen_,482269,482896,Popup_XY_,481102,481266,164
Get_Star_Id_For_Officers_Screen_,482269,483114,Popup_XY_,481102,481266,164
Get_Twinkling_Star_,483119,483309,Draw_Black_Holes_,474105,474367,262
Give_Me_All_Tech_Advances_,483314,483441,Do_System_Popup_,472681,472891,210
Main_Screen_,483720,489023,Draw_Black_Holes_,474105,474368,263
Print_Galaxy_Map_Scanned_Star_,489916,490228,Draw_Reply_To_Diplomacy_Request_Popup_,480211,480437,226
Print_Highlighted_Star_Name_,490233,490409,Do_System_Popup_,472681,472891,210
Print_Main_Screen_Data_,490414,494341,Main_Screen_,483720,489016,5296
Set_Post_Fitted_Font_Style_,494346,494422,Check_Hot_Keys_,469001,469691,690
Print_Star_Names_,494775,494900,Draw_Black_Holes_,474105,474358,253
Scan_Ships_XY_,497319,497607,Check_Hot_Keys_,469001,469691,690
Scroll_Map_,499193,499554,Check_Hot_Keys_,469001,469691,690
Scroll_Map_,499193,499589,Check_Hot_Keys_,469001,469691,690
Set_Painted_Fleet_Fields_,499895,500052,Draw_Black_Holes_,474105,474367,262
Zoom_Box_Width_,501064,501072,Zoom_Box_Height_,501048,501056,8
Warn_About_Cheating_Players_,501105,501437,Draw_Black_Holes_,474105,474367,262
Distance_Between_Stars_Screen_,502637,503165,Building_Outposts_In_Main_Screen_,502138,502588,450
Do_Begin_Of_Turn_,503170,503625,Building_Outposts_In_Main_Screen_,502138,502588,450
Draw_Main_Screen_For_Star_Distances_,503630,504182,Building_Outposts_In_Main_Screen_,502138,502588,450
Planet_Colonization_In_Main_Screen_,504542,505031,Building_Outposts_In_Main_Screen_,502138,502556,418
Scrap_Freighters_,505113,505760,Building_Outposts_In_Main_Screen_,502138,502588,450
Enforce_Planet_Max_,506937,507464,Assign_Marooned_Heroes_,506705,506876,171
Gas_Giants_,507469,507558,Get_Random_Orbit_,511401,511500,99
Generate_Climate_,507563,507806,Assign_Marooned_Heroes_,506705,506876,171
Generate_Nebulas_,508057,509118,Assign_Marooned_Heroes_,506705,506877,172
Generate_Orbit_,509287,509394,Assign_Marooned_Heroes_,506705,506876,171
Generate_Spectral_Class_,509959,510011,Get_Random_Orbit_,511401,511500,99
Get_Valid_Orbit_,511506,511647,Get_Random_Orbit_,511401,511500,99
Get_Valid_Orbit_,511506,511655,Get_Random_Orbit_,511401,511488,87
Home_Planet_,511660,511732,Get_Random_Orbit_,511401,511500,99
Set_Star_XYs_,511999,513029,Get_A_Planet_Or_Star_Special_,510016,510861,845
Set_Star_XYs_,511999,513080,Get_A_Planet_Or_Star_Special_,510016,510861,845
Randomize_Star_Names_,513538,513624,Assign_Marooned_Heroes_,506705,506877,172
Set_Default_Nebula_Data_,513671,513745,Assign_Marooned_Heroes_,506705,506876,171
Black_Hole_Fix_,514209,514562,Assign_Marooned_Heroes_,506705,506876,171
Load_Nebula_Pictures_,514567,514771,Assign_Marooned_Heroes_,506705,506876,171
Min_Font_Colors_,518178,518299,Font_Colors2_,517573,517845,272
Min_Font_Colors_,518178,518380,Font_Colors2_,517573,517845,272
Min_Font_Colors_,518178,518472,Font_Colors2_,517573,517845,272
CHECK_PARAM_PRINT_,518768,518901,CHECK_PARAM_DRAW_,518635,518762,127
CHECK_PARAM_PRINT_,518768,518915,CHECK_PARAM_DRAW_,518635,518762,127
Change_Font_Style_,519099,519161,Get_Comma_String_,517854,518147,293
Draw_Darkened_Box_,520277,520376,CHECK_PARAM_DRAW_,518635,518762,127
Draw_Highlight_Box_,520381,520639,CHECK_PARAM_DRAW_,518635,518762,127
Fill_Bitmap_Unbounded_,521000,521111,Fill_Bitmap_,520924,520994,70
Get_Furthest_Endpoint_,521811,521946,Fill_Bitmap_,520924,520994,70
Get_Mox_Min_Font_Colors_,522006,522027,Get_Mox_Font_Colors_,521976,521997,21
Get_Time_Stamp_Int_,522093,522194,Get_Comma_String_,517854,518147,293
HCLS_,522199,522202,Fade_To_Black_,520814,520822,8
Increase_Font_Color_Range_,522207,522320,Decrease_Font_Color_Range_,519166,519274,108
Next_File_Name_,522650,522954,Bit_Value_To_Num_,518477,518535,58
Read_Data_File_,523129,523242,Get_Comma_String_,517854,518147,293
Remove_Chars_,523247,523389,Bit_Value_To_Num_,518477,518535,58
Set_Fitted_Font_Style_,523681,523781,Get_Bitmap_String_Range_,521418,521538,120
Swap_Bitmap_Colors_,523912,524035,Get_Advancing_Bitmap_String_Range_,521113,521396,283
Tint_Bitmap_Colors_,524040,524153,Get_Bitmap_String_Range_,521418,521538,120
Tint_Bitmap_Colors_In_Range_,524158,524275,Replace_Bitmap_Colors_,523394,523547,153
_Tri_Interlaced_Fill_,524676,524854,Get_Bitmap_String_Range_,521418,521538,120
Box_Officer_Screen_Scanned_Star_,526286,526382,Box_Fleet_Screen_Scanned_Star_,525967,526058,91
Draw_Galaxy_Map_Box_,527439,528490,Add_Galaxy_Map_Fields_2_,524859,525163,304
Draw_Galaxy_Map_Box_,527439,528532,Add_Galaxy_Map_Fields_2_,524859,525163,304
Get_Galaxy_Map_Star_XY_,528853,529031,Add_Galaxy_Map_Fields_,525169,525354,185
Move_Box_To_Top_,529036,529220,Add_Whole_Window_Field_,525752,525823,71
Move_Moveable_Box_,529225,529887,Display_Moveable_Box_Info_,526661,526761,100
Move_Moveable_Box_,529225,530289,Display_Moveable_Box_Info_,526661,526761,100
Moveable_Box_Occluded_,530397,530640,Display_Moveable_Box_Info_,526661,526761,100
Save_And_Remove_Boxes_,530852,531003,Add_Whole_Window_Field_,525752,525823,71
Mouse_Within_Fleet_Box_,531211,531332,Add_Resource_Box_Fields_,525565,525746,181
Star_Name_Popup_Main_Y_,533533,533589,Star_Name_Popup_Main_X_,533462,533517,55
Max_Pixel_Width_Star_Name_Can_Be_,533591,533917,Setup_Input_Box_Popup_,531412,532237,825
Ask_For_Hire_,535922,536173,Officer_Skill_Value_,542391,542721,330
Draw_Officer_Screen_,537936,539161,Ask_For_Hire_,535922,536166,244
Draw_Officer_Screen_To_Back_,539166,539488,Officer_Skill_Value_,542391,542720,329
Draw_Offscrn_Fleet_Ship_Window_,539519,539537,Draw_Offscrn_Colony_Window_,539493,539511,18
Fleet_Screen_Icon_Ship_Id_,539753,539822,Build_Captain_Id_List_,536178,536395,217
Get_Officer_Pictures_,540151,540333,Officer_Skill_Value_,542391,542720,329
Get_Random_Skills_,540338,540678,Add_Skill_Description_Help_Fields_,535186,535583,397
Get_Skill_Data_Max_Pixel_Width_,540715,540966,Officer_Skill_Value_,542391,542720,329
Load_Officer_Skill_Name_Descriptions_,541437,541553,Officer_Skill_Value_,542391,542720,329
Move_Officer_To_Limbo_,541600,541706,Officer_Skill_Value_,542391,542720,329
Move_Officer_To_Limbo_,541600,541854,Officer_Skill_Value_,542391,542720,329
Officer_Has_Special_Skill_,542366,542389,Officer_Has_General_Skill_,542333,542356,23
Officer_Skill_Value_,542391,542834,Hire_Officer_,540971,541109,138
Bonus_For_Famous_Heroes_,542863,543012,Officer_Skill_Value_,542391,542720,329
Officers_Screen_,543773,546525,Officer_Skill_Value_,542391,542720,329
Print_Galmap_Scanned_Ship_,546787,547089,Ask_For_Hire_,535922,536166,244
Print_Galmap_Scanned_Ship_,546787,547749,Ask_For_Hire_,535922,536166,244
Print_Scanned_Ship_Name_,550075,550345,Officer_Skill_Value_,542391,542720,329
Random_Skill2_,550711,551116,Add_Skill_Description_Help_Fields_,535186,535583,397
Reload_Officer_Screen_Pictures_,551121,552160,Officer_Skill_Value_,542391,542720,329
Reload_Officer_Skill_Icons_,552165,552214,Officer_Skill_Value_,542391,542721,330
Reload_Offscrn_Small_Ship_Icons_,552274,552454,Officer_Skill_Value_,542391,542720,329
Save_Officer_Structure_,552487,552507,Restore_Officer_Structure_,552459,552479,20
Wrapper_For_Officer_Popup_Help_Fields_,553790,553927,Hire_Officer_,540971,541109,138
Wrapper_For_Offscrn_Help_Fields_,553984,554099,Officer_Skill_Value_,542391,542721,330
Wrapper_For_Offscrn_System_Popup_,554150,554276,Officer_Skill_Value_,542391,542720,329
N_Fleet_Officers_Owned_By_Player_,554860,554922,Officer_Skill_Value_,542391,542721,330
N_Star_Officers_Owned_By_Player_,554927,554996,Officer_Skill_Value_,542391,542720,329
Chance_To_Hire_Hero_,555037,555090,Officer_Skill_Value_,542391,542720,329
Chance_To_Hire_Hero_,555037,555419,Officer_Skill_Value_,542391,542720,329
Increase_Officer_Level_By_One_,555424,555556,Officer_Skill_Value_,542391,542720,329
Officer_Cost_,555565,555617,Officer_Skill_Value_,542391,542728,337
Random_Officer_Check_,555622,555727,Build_Captain_Id_List_,536178,536395,217
Select_Leader_For_Hire_,555821,556072,Officer_Skill_Value_,542391,542718,327
Find_Selected_Leader_,556377,556936,Ask_For_Hire_,535922,536172,250
