name,start,provisional_end,size,instruction,opcode,target,direction,delta,target_owner,target_owner_start,target_relation,classification
Maintenance_Strength_Comparison_,262558,262602,44,262600,jmp,262550,before,8,Tech_Strength_Comparison_,262500,interior,near_predecessor_epilogue
Unprovoked_Good_Messages_,262602,264231,1629,262640,jge,261643,before,959,Required_Alliances_,261424,interior,cross_function_conditional
Clear_Diplomacy_Messages_,264460,264913,453,264908,jmp,252587,before,11873,Init_Diplomatic_Relations_,251790,interior,shared_epilogue_or_tail
Determine_First_Contacts_,265047,265644,597,265639,jmp,252587,before,12460,Init_Diplomatic_Relations_,251790,interior,shared_epilogue_or_tail
Modifier_Diplomacy_Adjustments_,265644,266207,563,266202,jmp,252588,before,13056,Init_Diplomatic_Relations_,251790,interior,shared_epilogue_or_tail
Declare_War_,266360,267150,790,266465,jge,261643,before,4717,Required_Alliances_,261424,interior,cross_function_conditional
Break_Treaties_,267150,268123,973,268118,jmp,261643,before,5507,Required_Alliances_,261424,interior,shared_epilogue_or_tail
Break_Research_,268123,268716,593,268142,jge,261643,before,6480,Required_Alliances_,261424,interior,cross_function_conditional
Break_Trade_,268716,269314,598,268735,jge,261643,before,7073,Required_Alliances_,261424,interior,cross_function_conditional
Break_Tribute_,269314,269774,460,269333,jge,261643,before,7671,Required_Alliances_,261424,interior,cross_function_conditional
Total_War_Loss_Comparison_,270095,270309,214,270304,jmp,261643,before,8452,Required_Alliances_,261424,interior,shared_epilogue_or_tail
Start_Research_Treaty_,270672,270911,239,270906,jmp,261643,before,9029,Required_Alliances_,261424,interior,shared_epilogue_or_tail
Start_Trade_Treaty_,270911,271150,239,271145,jmp,261643,before,9268,Required_Alliances_,261424,interior,shared_epilogue_or_tail
Declare_Peace_,271611,271874,263,271869,jmp,261643,before,9968,Required_Alliances_,261424,interior,shared_epilogue_or_tail
Check_Treaty_Proposal_,272173,274758,2585,274738,jge,274790,after,32,Diplomacy_Test_,274758,interior,cross_function_conditional
Get_Declare_War_Message_,276156,276259,103,276243,jbe,276300,after,41,Get_Gift_Response_,276259,interior,cross_function_conditional
Get_Gift_Response_,276259,276953,694,276912,jmp,256768,before,19491,Reward_Check_,256515,interior,shared_epilogue_or_tail
Get_Demand_Response_,276953,278166,1213,278086,jne,256509,before,20444,Change_Relations_,254901,interior,cross_function_conditional
NPC_Sneak_Attacks_,278235,279713,1478,279708,jmp,252587,before,25648,Init_Diplomatic_Relations_,251790,interior,shared_epilogue_or_tail
Sneak_Attack_Evaluations_,279713,281792,2079,281787,jmp,256768,before,22945,Reward_Check_,256515,interior,shared_epilogue_or_tail
Init_Ship_Designs_,282559,282956,397,282703,jge,289332,after,6376,Best_Point_Defense_Weapon_,289180,interior,cross_function_conditional
Load_Antaran_Ship_Design_,282956,282977,21,282960,ja,285457,after,2480,Load_Large_Antaran_Design_,285148,interior,cross_function_conditional
Load_Small_Antaran_Combat_Ship_,282977,283492,515,283487,jmp,285452,after,1960,Load_Large_Antaran_Design_,285148,interior,shared_epilogue_or_tail
Load_Small_Antaran_Design_,283492,283692,200,283687,jmp,285452,after,1760,Load_Large_Antaran_Design_,285148,interior,shared_epilogue_or_tail
Load_Medium_Antaran_Combat_Ship_,283692,284253,561,284248,jmp,283473,before,219,Load_Small_Antaran_Combat_Ship_,282977,interior,shared_epilogue_or_tail
Load_Medium_Antaran_Design_,284253,284472,219,284467,jmp,283663,before,590,Load_Small_Antaran_Design_,283492,interior,shared_epilogue_or_tail
Load_Large_Antaran_Combat_Ship_,284472,285148,676,285143,jmp,283473,before,999,Load_Small_Antaran_Combat_Ship_,282977,interior,shared_epilogue_or_tail
Load_Huge_Antaran_Combat_Ship_,285458,286230,772,286225,jmp,283473,before,1985,Load_Small_Antaran_Combat_Ship_,282977,interior,shared_epilogue_or_tail
Load_Huge_Antaran_Design_,286230,286567,337,286562,jmp,285428,before,802,Load_Large_Antaran_Design_,285148,interior,shared_epilogue_or_tail
Load_Titan_Antaran_Combat_Ship_,286567,287446,879,287441,jmp,289332,after,1886,Best_Point_Defense_Weapon_,289180,interior,shared_epilogue_or_tail
Load_Titan_Antaran_Design_,287446,287840,394,287835,jmp,285428,before,2018,Load_Large_Antaran_Design_,285148,interior,shared_epilogue_or_tail
Load_Outpost_Ship_Design_,288134,288318,184,288313,jmp,288128,before,6,Load_Colony_Ship_Design_,287949,interior,near_predecessor_epilogue
Best_Armor_,288863,289003,140,288970,jmp,288775,before,88,Best_Ship_Shield_,288670,interior,shared_epilogue_or_tail
Best_Beam_Weapon_,289003,289180,177,289175,jmp,290072,after,892,Best_Bomb_Weapon_,289954,interior,shared_epilogue_or_tail
Best_Point_Defense_Weapon_,289180,289338,158,289333,jmp,285452,before,3728,Load_Large_Antaran_Design_,285148,interior,shared_epilogue_or_tail
Best_Point_Defense_Weapon_By_Size_,289400,289574,174,289426,jge,289325,before,75,Best_Point_Defense_Weapon_,289180,interior,cross_function_conditional
Best_Missile_Weapon_,289574,289786,212,289696,jge,290072,after,286,Best_Bomb_Weapon_,289954,interior,cross_function_conditional
Best_Missile_Weapon_NT_,289786,289954,168,289892,jge,289173,before,613,Best_Beam_Weapon_,289003,interior,cross_function_conditional
Best_Beam_To_Hit_Special_,290308,290418,110,290327,jge,290070,before,238,Best_Bomb_Weapon_,289954,interior,cross_function_conditional
Best_Beam_Damage_Special_,290418,290544,126,290437,jge,290070,before,348,Best_Bomb_Weapon_,289954,interior,cross_function_conditional
Best_Beam_Defense_Special_,290544,290670,126,290563,jge,290070,before,474,Best_Bomb_Weapon_,289954,interior,cross_function_conditional
Best_Missile_Defense_Special_,290670,290796,126,290689,jge,290070,before,600,Best_Bomb_Weapon_,289954,interior,cross_function_conditional
Best_Missile_Damage_Special_,290796,290930,134,290917,jne,289173,before,1623,Best_Beam_Weapon_,289003,interior,cross_function_conditional
Best_Ship_Fuel_,290975,291090,115,291072,jge,290070,before,905,Best_Bomb_Weapon_,289954,interior,cross_function_conditional
Update_Player_Ship_Designs_,291090,291223,133,291116,jmp,289332,before,1758,Best_Point_Defense_Weapon_,289180,interior,shared_epilogue_or_tail
Update_Equipment_On_Ships_Being_Built_,291223,291499,276,291253,jne,289332,before,1891,Best_Point_Defense_Weapon_,289180,interior,cross_function_conditional
Update_Automatic_Design_Equipment_,291499,291783,284,291778,jmp,289332,before,2167,Best_Point_Defense_Weapon_,289180,interior,shared_epilogue_or_tail
Update_Strategic_Ship_Designs_,291783,292001,218,291996,jmp,289332,before,2451,Best_Point_Defense_Weapon_,289180,interior,shared_epilogue_or_tail
Update_Player_Strategic_Ship_Designs_,292001,292198,197,292193,jmp,289332,before,2669,Best_Point_Defense_Weapon_,289180,interior,shared_epilogue_or_tail
Load_Eel_Ship_Design_,294164,294427,263,294422,jmp,288128,before,6036,Load_Colony_Ship_Design_,287949,interior,shared_epilogue_or_tail
Load_Guardian_Ship_Design_,294700,295048,348,295043,jmp,285449,before,9251,Load_Large_Antaran_Design_,285148,interior,shared_epilogue_or_tail
Check_For_Auto_Refit_,295048,295157,109,295152,jmp,285452,before,9596,Load_Large_Antaran_Design_,285148,interior,shared_epilogue_or_tail
Repair_Ships_At_Colonies_,295157,295411,254,295406,jmp,288775,before,6382,Best_Ship_Shield_,288670,interior,shared_epilogue_or_tail
Ship_Has_Weapon_,295536,295615,79,295610,jmp,288128,before,7408,Load_Colony_Ship_Design_,287949,interior,shared_epilogue_or_tail
Load_Loknar_Ship_Design_,296071,296416,345,296383,jmp,285449,before,10622,Load_Large_Antaran_Design_,285148,interior,shared_epilogue_or_tail
Get_Weighted_Choice_Long_,296779,296883,104,296867,jle,296774,before,5,Get_Weighted_Choice_,296660,interior,near_predecessor_epilogue
Get_Weighted_Choice_Best_Long_,296967,297043,76,297041,jmp,296961,before,6,Get_Weighted_Best_Choice_,296883,interior,near_predecessor_epilogue
Calculate_Picks_,299091,299269,178,299264,jmp,300703,after,1434,Draw_Race_Option_Background_,299269,interior,shared_epilogue_or_tail
Draw_Racial_Option_Screen_,300709,303009,2300,303004,jmp,300681,before,28,Draw_Race_Option_Background_,299269,interior,shared_epilogue_or_tail
Racial_Option_Screen_,304060,305876,1816,305267,jmp,300696,before,3364,Draw_Race_Option_Background_,299269,interior,shared_epilogue_or_tail
Add_Race_Options_Fields_,305876,306583,707,306578,jmp,299263,before,6613,Calculate_Picks_,299091,interior,shared_epilogue_or_tail
Convert_Player_To_Flags_,306583,306744,161,306739,jmp,299263,before,7320,Calculate_Picks_,299091,interior,shared_epilogue_or_tail
Setup_Evolutionary_Upgrade_,307370,307530,160,307525,jmp,299263,before,8107,Calculate_Picks_,299091,interior,shared_epilogue_or_tail
Convert_Player_To_Flags_EM_,308429,308645,216,308640,jmp,299263,before,9166,Calculate_Picks_,299091,interior,shared_epilogue_or_tail
Convert_Flags_To_Player_EM_,308645,308809,164,308804,jmp,306926,before,1719,Convert_Flags_To_Player_,306744,interior,shared_epilogue_or_tail
Evolutionary_Mutation_Screen_,308809,310308,1499,310303,jmp,300696,before,8113,Draw_Race_Option_Background_,299269,interior,shared_epilogue_or_tail
Draw_Race_Selection_Screen_,310679,311822,1143,311817,jmp,310673,before,6,Reload_Race_Selection_Screen_,310388,interior,near_predecessor_epilogue
Race_Selection_Screen_,312592,315191,2599,315186,jmp,311810,before,782,Draw_Race_Selection_Screen_,310679,interior,shared_epilogue_or_tail
Draw_Flag_Screen_,315191,315391,200,315386,jmp,310672,before,4519,Reload_Race_Selection_Screen_,310388,interior,shared_epilogue_or_tail
Set_Flag_Screen_Help_,315391,315452,61,315447,jmp,312585,before,2806,Set_Race_Select_Help_,311899,interior,shared_epilogue_or_tail
Flag_Screen_,315452,316019,567,315924,jmp,310672,before,4780,Reload_Race_Selection_Screen_,310388,interior,shared_epilogue_or_tail
Ken_Test_,316952,317065,113,317063,jmp,316946,before,6,Find_Ship_Stacks_,316446,interior,near_predecessor_epilogue
Set_Stack_Location_,317564,317623,59,317581,je,316949,before,615,Find_Ship_Stacks_,316446,interior,cross_function_conditional
Set_Stack_XY_,317623,317698,75,317642,je,317561,before,62,Split_Stack_,317065,interior,cross_function_conditional
Remove_Non_Detected_Ships_,317779,318852,1073,318847,jmp,316945,before,834,Find_Ship_Stacks_,316446,interior,shared_epilogue_or_tail
Init_Player_Tech_,320863,322281,1418,322268,jmp,320504,before,359,Init_Tech_,319971,interior,shared_epilogue_or_tail
Ship_Strength_Vs_Shield_,323403,324291,888,324139,jne,323091,before,312,Satelite_Strength_Vs_Ships_,322418,interior,cross_function_conditional
Missile_Base_Strength_,324900,325027,127,324922,jmp,324894,before,6,Ship_Strength_Vs_Planetary_Shield_,324473,interior,near_predecessor_epilogue
Phasor_Base_Strength_,325027,325196,169,325191,jmp,324894,before,133,Ship_Strength_Vs_Planetary_Shield_,324473,interior,shared_epilogue_or_tail
Fighter_Garrison_Strength_,325196,325447,251,325442,jmp,324894,before,302,Ship_Strength_Vs_Planetary_Shield_,324473,interior,shared_epilogue_or_tail
Get_Ship_Class_,326279,327052,773,326345,jmp,326270,before,9,Special_Devices_Available_,326122,interior,near_predecessor_epilogue
Add_Beam_Weapon_To_Design_,332927,333477,550,333096,jle,329895,before,3032,Add_Missile_Weapon_To_Design_,329593,interior,cross_function_conditional
Hotseat_Screen_,338146,338871,725,338802,jne,337878,before,268,Draw_Hotseat_Screen_,337622,interior,cross_function_conditional
Advanced_Civilization_Colonies_,339056,339608,552,339603,jmp,339049,before,7,Build_Parsec_Star_Distances_,338922,interior,near_predecessor_epilogue
Build_Adv_Civ_Star_List_,339608,340021,413,340016,jmp,339049,before,559,Build_Parsec_Star_Distances_,338922,interior,shared_epilogue_or_tail
Build_Adv_Civ_Planet_List_,340021,340310,289,340305,jmp,339049,before,972,Build_Parsec_Star_Distances_,338922,interior,shared_epilogue_or_tail
Get_Worth_For_All_Planets_,340310,340569,259,340564,jmp,339049,before,1261,Build_Parsec_Star_Distances_,338922,interior,shared_epilogue_or_tail
Get_Next_Adv_Civ_Planet_,341020,341367,347,341362,jmp,340943,before,77,Proximity_Bonus_,340754,interior,shared_epilogue_or_tail
Choose_Adv_Civ_Planets_,341367,342088,721,342083,jmp,339049,before,2318,Build_Parsec_Star_Distances_,338922,interior,shared_epilogue_or_tail
Get_Saved_Planet_Worth_,342113,342185,72,342180,jmp,340943,before,1170,Proximity_Bonus_,340754,interior,shared_epilogue_or_tail
Twiddle_Selected_Adv_Civ_Planets_,342185,342874,689,342869,jmp,339049,before,3136,Build_Parsec_Star_Distances_,338922,interior,shared_epilogue_or_tail
Get_Players_Planet_Worthiness_Average_,343200,343306,106,343301,jmp,339049,before,4151,Build_Parsec_Star_Distances_,338922,interior,shared_epilogue_or_tail
Antaran_Offensive_Force_,343667,343710,43,343705,jmp,343552,before,115,Antaran_Defensive_Force_,343514,interior,shared_epilogue_or_tail
Antarans_Should_Attack_,343773,343964,191,343862,jmp,344005,after,41,Build_Antaran_Defensive_Ships_,343964,interior,shared_epilogue_or_tail
Build_Antaran_Offensive_Ships_,344011,344048,37,344046,jmp,343996,before,15,Build_Antaran_Defensive_Ships_,343964,interior,near_predecessor_epilogue
Deploy_Antaran_Ships_,344992,345508,516,345503,jmp,344005,before,987,Build_Antaran_Defensive_Ships_,343964,interior,shared_epilogue_or_tail
Next_Antaran_Ship_Size_,345997,346071,74,346052,jl,343552,before,2445,Antaran_Defensive_Force_,343514,interior,cross_function_conditional
Add_Replacement_Weapon_Fields_,347028,348808,1780,348803,jmp,357096,after,8288,Print_Main_Weapon_Box_,355564,interior,shared_epilogue_or_tail
Draw_Generic_Replacement_Box_,350040,350291,251,350286,jmp,352872,after,2581,Generic_Replacement_Box_,352318,interior,shared_epilogue_or_tail
Draw_Special_Systems_Replacement_Box_,350291,350499,208,350459,jle,350266,before,25,Draw_Generic_Replacement_Box_,350040,interior,cross_function_conditional
Draw_Special_Systems_Scroll_Bar_,350499,350763,264,350758,jmp,352872,after,2109,Generic_Replacement_Box_,352318,interior,shared_epilogue_or_tail
Draw_Weapons_Arc_Box_,350763,351013,250,351008,jmp,349399,before,1364,Add_Special_System_Fields_,348808,interior,shared_epilogue_or_tail
Draw_Weapons_Mod_Box_,351013,351282,269,351277,jmp,349399,before,1614,Add_Special_System_Fields_,348808,interior,shared_epilogue_or_tail
Draw_Weapons_Rack_Box_,351282,351482,200,351477,jmp,349399,before,1883,Add_Special_System_Fields_,348808,interior,shared_epilogue_or_tail
Draw_Weapons_Replacement_Box_,351482,352051,569,352046,jmp,350266,before,1216,Draw_Generic_Replacement_Box_,350040,interior,shared_epilogue_or_tail
Draw_Weapons_Scroll_Bar_,352051,352318,267,352313,jmp,350753,before,1298,Draw_Special_Systems_Scroll_Bar_,350499,interior,shared_epilogue_or_tail
Generic_Replacement_Box_,352318,352878,560,352873,jmp,363831,after,10953,Special_Systems_Box_,362325,interior,shared_epilogue_or_tail
New_Mod_Space_,354416,354557,141,354545,jmp,354295,before,121,Mod_Allowed_On_Weapon_Type_,354188,interior,shared_epilogue_or_tail
Print_Computer_Data_,354557,355564,1007,355559,jmp,357102,after,1538,Print_Main_Weapon_Box_,355564,interior,shared_epilogue_or_tail
Print_Shield_Data_,357138,358015,877,358010,jmp,357033,before,105,Print_Main_Weapon_Box_,355564,interior,shared_epilogue_or_tail
Print_Special_System_Data_,358015,359367,1352,359362,jmp,357046,before,969,Print_Main_Weapon_Box_,355564,interior,shared_epilogue_or_tail
Print_Weapon_Mod_Help_Description_,359367,359631,264,359602,jmp,352867,before,6500,Generic_Replacement_Box_,352318,interior,shared_epilogue_or_tail
Print_Weapon_Modification_Message_,359631,360016,385,360011,jmp,363830,after,3814,Special_Systems_Box_,362325,interior,shared_epilogue_or_tail
Redraw_Main_Design_Screen_To_Background_,360016,360092,76,360087,jmp,349562,before,10454,Draw_Darkened_Design_Screen_,349497,interior,shared_epilogue_or_tail
Set_Up_Weapon_Display_,360444,360823,379,360818,jmp,352872,before,7572,Generic_Replacement_Box_,352318,interior,shared_epilogue_or_tail
Space_With_Weapons_,361101,361247,146,361242,jmp,363831,after,2584,Special_Systems_Box_,362325,interior,shared_epilogue_or_tail
Special_System_Choices_,361491,362003,512,361998,jmp,352872,before,8619,Generic_Replacement_Box_,352318,interior,shared_epilogue_or_tail
Special_System_Exclusion_,362003,362187,184,362182,jmp,349399,before,12604,Add_Special_System_Fields_,348808,interior,shared_epilogue_or_tail
Update_Field_Item_Chosen_,364003,364096,93,364091,jmp,354295,before,9708,Mod_Allowed_On_Weapon_Type_,354188,interior,shared_epilogue_or_tail
Valid_Modifications_,364682,364963,281,364958,jmp,352872,before,11810,Generic_Replacement_Box_,352318,interior,shared_epilogue_or_tail
Weapon_Choices_,365083,365865,782,365850,jmp,352872,before,12211,Generic_Replacement_Box_,352318,interior,shared_epilogue_or_tail
Weapons_Replacement_Box_,365955,368175,2220,368170,jmp,363824,before,2131,Special_Systems_Box_,362325,interior,shared_epilogue_or_tail
Build_Design_Template_,370337,370632,295,370627,jmp,369630,before,707,Add_Design_Buttons_,368226,interior,shared_epilogue_or_tail
Check_For_Auto_Repeat_,371610,372030,420,371641,jmp,369630,before,1980,Add_Design_Buttons_,368226,interior,shared_epilogue_or_tail
Clear_Design_For_Colony_Builds_,373570,373684,114,373679,jmp,371477,before,2093,Build_Initial_Design_Template_,370632,interior,shared_epilogue_or_tail
Clear_Weapon_Slot_,373800,373975,175,373970,jmp,369631,before,4169,Add_Design_Buttons_,368226,interior,shared_epilogue_or_tail
Design_Screen_,375218,376967,1749,376962,jmp,369631,before,5587,Add_Design_Buttons_,368226,interior,shared_epilogue_or_tail
Design_Template_Costs_,376967,377479,512,377474,jmp,369630,before,7337,Add_Design_Buttons_,368226,interior,shared_epilogue_or_tail
Design_Template_Space_Requirements_,377479,377982,503,377977,jmp,369630,before,7849,Add_Design_Buttons_,368226,interior,shared_epilogue_or_tail
Draw_Down_Buttons_,378628,378993,365,378908,jmp,369630,before,8998,Add_Design_Buttons_,368226,interior,shared_epilogue_or_tail
Load_Design_Screen_Pictures_,379277,380971,1694,380966,jmp,369630,before,9647,Add_Design_Buttons_,368226,interior,shared_epilogue_or_tail
Miniaturization_Level_,381000,381150,150,381043,jne,371477,before,9523,Build_Initial_Design_Template_,370632,interior,cross_function_conditional
Number_Of_Weapons_Loaded_,381329,381364,35,381362,jmp,381323,before,6,Number_Of_Special_Systems_,381287,interior,near_predecessor_epilogue
Print_Current_Design_,381596,385169,3573,385144,jmp,376961,before,4635,Design_Screen_,375218,interior,shared_epilogue_or_tail
Replacement_Exists_,385500,385600,100,385595,jmp,369631,before,15869,Add_Design_Buttons_,368226,interior,shared_epilogue_or_tail
Space_For_System_Replacement_,386094,386417,323,386412,jmp,369630,before,16464,Add_Design_Buttons_,368226,interior,shared_epilogue_or_tail
Total_Design_Cost_,386935,387103,168,387098,jmp,374988,before,11947,Current_Design_Base_Combat_Speed_,374890,interior,shared_epilogue_or_tail
Total_Space_Used_,387170,387290,120,387285,jmp,369631,before,17539,Add_Design_Buttons_,368226,interior,shared_epilogue_or_tail
Update_Player_Design_,387656,388212,556,388207,jmp,371477,before,16179,Build_Initial_Design_Template_,370632,interior,shared_epilogue_or_tail
Miniaturization_Category_,389404,389580,176,389467,jmp,381323,before,8081,Number_Of_Special_Systems_,381287,interior,shared_epilogue_or_tail
Set_Design_Screen_Help_List_,390468,390593,125,390588,jmp,392020,after,1427,Set_Null_Modem_Setup_Screen_Help_List_,391967,interior,shared_epilogue_or_tail
Set_Main_Game_Screen_Help_List_,391206,391227,21,391222,jmp,390461,before,745,Set_PlntSum_Screen_Help_List_,390445,interior,shared_epilogue_or_tail
Set_Scrap_Freighters_Help_List_,391227,391248,21,391243,jmp,390461,before,766,Set_PlntSum_Screen_Help_List_,390445,interior,shared_epilogue_or_tail
Set_Load_Game_Screen_Help_List_,391248,391269,21,391264,jmp,390461,before,787,Set_PlntSum_Screen_Help_List_,390445,interior,shared_epilogue_or_tail
Set_Save_Game_Screen_Help_List_,391269,391290,21,391285,jmp,390461,before,808,Set_PlntSum_Screen_Help_List_,390445,interior,shared_epilogue_or_tail
Set_Options_Game_Screen_Help_List_,391290,391311,21,391306,jmp,390461,before,829,Set_PlntSum_Screen_Help_List_,390445,interior,shared_epilogue_or_tail
Set_Fleet_Screen_Help_List_,391311,391519,208,391514,jmp,390433,before,878,Set_Main_Screen_Help_List_,389760,interior,shared_epilogue_or_tail
Set_ColOff_Screen_Help_List_,391519,391613,94,391608,jmp,390433,before,1086,Set_Main_Screen_Help_List_,389760,interior,shared_epilogue_or_tail
Set_ShipOff_Screen_Help_List_,391613,391872,259,391867,jmp,392275,after,403,Get_Application_Description_,392170,interior,shared_epilogue_or_tail
Set_Main_Menu_Screen_Help_List_,391872,391893,21,391888,jmp,390461,before,1411,Set_PlntSum_Screen_Help_List_,390445,interior,shared_epilogue_or_tail
Set_Multi_Player_Setup_Screen_Help_List_,391893,391914,21,391909,jmp,390461,before,1432,Set_PlntSum_Screen_Help_List_,390445,interior,shared_epilogue_or_tail
Set_Modem_Setup_Screen_Help_List_,391914,391967,53,391965,jmp,392018,after,51,Set_Null_Modem_Setup_Screen_Help_List_,391967,interior,shared_epilogue_or_tail
Set_Input_Box_Help_List_,392030,392051,21,392046,jmp,390461,before,1569,Set_PlntSum_Screen_Help_List_,390445,interior,shared_epilogue_or_tail
Set_Diplomacy_Request_Help_List_,392051,392072,21,392070,jmp,391986,before,65,Set_Null_Modem_Setup_Screen_Help_List_,391967,interior,shared_epilogue_or_tail
Set_Hotseat_Setup_Screen_Help_List_,392072,392093,21,392091,jmp,391986,before,86,Set_Null_Modem_Setup_Screen_Help_List_,391967,interior,shared_epilogue_or_tail
Get_Help_LBX_Message_,392281,392318,37,392316,jmp,392205,before,76,Get_Application_Description_,392170,interior,shared_epilogue_or_tail
Add_Fleet_Movement_Box_Fields_,392968,393738,770,393010,jne,392962,before,6,Add_Added_Buttons_,392484,interior,near_predecessor_epilogue
Check_For_Build_Outpost_Button_,393849,393868,19,393866,jmp,393843,before,6,Check_For_Attack_Antares_Button_,393833,interior,near_predecessor_epilogue
Check_For_Colonization_Button_,393868,393887,19,393885,jmp,393843,before,25,Check_For_Attack_Antares_Button_,393833,interior,shared_epilogue_or_tail
Check_For_Engage_Enemy_Forces_Button_,393887,393906,19,393904,jmp,393843,before,44,Check_For_Attack_Antares_Button_,393833,interior,shared_epilogue_or_tail
Check_For_Transport_Troops_Button_,393906,393925,19,393923,jmp,393843,before,63,Check_For_Attack_Antares_Button_,393833,interior,shared_epilogue_or_tail
Draw_Damage_Bars_,393962,394406,444,394060,je,394748,after,342,Draw_Large_Fleet_Box_Frame_,394406,interior,cross_function_conditional
Draw_Small_Fleet_Box_Frame_,394754,395147,393,395142,jmp,394708,before,46,Draw_Large_Fleet_Box_Frame_,394406,interior,shared_epilogue_or_tail
Draw_Fleet_Movement_Box_,395381,397058,1677,397053,jmp,395375,before,6,Draw_Fltpop_Scroll_Bar_,395147,interior,near_predecessor_epilogue
Draw_Fleet_Pop_Added_Buttons_,397058,397467,409,397425,je,392962,before,4096,Add_Added_Buttons_,392484,interior,cross_function_conditional
Fleet_Box_Height_,397798,398040,242,398035,jmp,395374,before,2424,Draw_Fltpop_Scroll_Bar_,395147,interior,shared_epilogue_or_tail
Get_Fleetpop_Scanned_Ship_Info_,398286,398437,151,398306,jle,395375,before,2911,Draw_Fltpop_Scroll_Bar_,395147,interior,cross_function_conditional
Print_Fleet_Box_Info_,398598,399895,1297,399695,je,397046,before,1552,Draw_Fleet_Movement_Box_,395381,interior,cross_function_conditional
Reload_Fleet_Box_Data_,399895,399927,32,399902,je,531008,after,131081,Vanish_Fleet_Movement_Box_,531008,entry,cross_function_conditional
Fleet_Box_Data_,399927,400142,215,399959,jle,397514,before,2413,First_Unselected_Icon_,397467,interior,cross_function_conditional
Set_Attack_Antares_Button_Flag_,400615,400856,241,400851,jmp,395374,before,5241,Draw_Fltpop_Scroll_Bar_,395147,interior,shared_epilogue_or_tail
Set_Build_Outpost_Button_Flag_,400856,401205,349,400880,jmp,395374,before,5482,Draw_Fltpop_Scroll_Bar_,395147,interior,shared_epilogue_or_tail
Set_Colonize_Button_Flag_,401205,401565,360,401560,jmp,395374,before,5831,Draw_Fltpop_Scroll_Bar_,395147,interior,shared_epilogue_or_tail
Set_Engage_Enemy_Forces_Flag_,401565,401899,334,401591,jmp,395374,before,6191,Draw_Fltpop_Scroll_Bar_,395147,interior,shared_epilogue_or_tail
Set_Fleet_Movement_Icon_Selections_,402078,402246,168,402241,jmp,392962,before,9116,Add_Added_Buttons_,392484,interior,shared_epilogue_or_tail
Set_Transport_Troops_Flag_,402246,402639,393,402270,jmp,395374,before,6872,Draw_Fltpop_Scroll_Bar_,395147,interior,shared_epilogue_or_tail
Draw_Fltscrn_Ship_Destination_Lines_,406769,407458,689,407453,jmp,406690,before,79,Draw_Fltscrn_Big_Ship_Icons_,406230,interior,shared_epilogue_or_tail
Fill_FltScrn_Scroll_Bar_,407667,407936,269,407931,jmp,406690,before,977,Draw_Fltscrn_Big_Ship_Icons_,406230,interior,shared_epilogue_or_tail
Fleet_Screen_,407936,410829,2893,410824,jmp,406691,before,1245,Draw_Fltscrn_Big_Ship_Icons_,406230,interior,shared_epilogue_or_tail
Load_Fltscrn_Officer_Picture_,410829,410882,53,410864,jmp,1141501,after,730619,Far_Reload_,1141501,entry,tail_call
Reload_Fleet_Screen_,411210,411904,694,411899,jmp,406690,before,4520,Draw_Fltscrn_Big_Ship_Icons_,406230,interior,shared_epilogue_or_tail
Reload_Small_Ship_Icons_,411959,412144,185,412139,jmp,406690,before,5269,Draw_Fltscrn_Big_Ship_Icons_,406230,interior,shared_epilogue_or_tail
Draw_Fltscrn_Relocation_Lines_,414330,414616,286,414611,jmp,406690,before,7640,Draw_Fltscrn_Big_Ship_Icons_,406230,interior,shared_epilogue_or_tail
N_Fltscrn_Ships_Selected_,414616,414706,90,414673,jmp,413454,before,1162,First_Selected_Ship_,413400,interior,shared_epilogue_or_tail
Add_Fltscrn_Big_Icon_Fields_,414812,415186,374,414919,jle,416061,after,875,Button_Underneath_,415961,interior,cross_function_conditional
Add_Fltscrn_Small_Icon_Fields_,415186,415295,109,415290,jmp,416061,after,766,Button_Underneath_,415961,interior,shared_epilogue_or_tail
Button_Underneath_,415961,416067,106,416062,jmp,416601,after,534,Draw_Captains_Picture_,416217,interior,shared_epilogue_or_tail
Fix_Palette_,416607,416640,33,416635,jmp,1187707,after,771067,Refresh_Palette_,1187707,entry,tail_call
Fltscrn_Move_Ships_,417096,417512,416,417507,jmp,416600,before,496,Draw_Captains_Picture_,416217,interior,shared_epilogue_or_tail
Fltscrn_Ships_To_Be_Displayed_,417512,417657,145,417618,jmp,416059,before,1453,Button_Underneath_,415961,interior,shared_epilogue_or_tail
Print_Fltscrn_Scanned_Star_Name_,418213,419598,1385,419167,jmp,416061,before,2152,Button_Underneath_,415961,interior,shared_epilogue_or_tail
Print_Scanned_Ship_Data_,419598,421666,2068,420037,jmp,416594,before,3004,Draw_Captains_Picture_,416217,interior,shared_epilogue_or_tail
Confirmation_Box_,423512,424032,520,424027,jmp,423505,before,7,Message_Box_Exploding_,422970,interior,near_predecessor_epilogue
Confirmation_Box_Exploding_,423512,424032,520,424027,jmp,423505,before,7,Message_Box_Exploding_,422970,interior,near_predecessor_epilogue
Do_Confirmation_Box_,423512,424032,520,424027,jmp,423505,before,7,Message_Box_Exploding_,422970,interior,near_predecessor_epilogue
Message_Box_Cleanup_,424444,424564,120,424559,jmp,436175,after,11611,Restore_Mouse_List_,436175,entry,tail_call
Colony_Player_Color_,424991,425014,23,425009,jmp,429248,after,4234,Star_Player_Palette_Color_,429232,interior,shared_epilogue_or_tail
