site_offset,site_hex,kind,operand,form,likely_switch,function,function_offset,segment
1298892,0x13d1cc,call,DWORD PTR [ebx+0x4],memory,0,uncget_,1298889,
1301289,0x13db29,call,DWORD PTR ds:0x1254c,memory,0,scan_float_,1300639,
1303571,0x13e413,call,DWORD PTR ds:0x4bc68,memory,0,HandleUserMessage_,1303311,
1305090,0x13ea02,call,DWORD PTR [ecx+0x57],memory,0,Send_Receive_Ack_,1305006,
1305186,0x13ea62,call,DWORD PTR [ecx+0x57],memory,0,Send_Receive_Nack_,1305102,
1306063,0x13edcf,call,DWORD PTR [edx+0x53],memory,0,Modem_Clear_,1306018,
1306148,0x13ee24,call,DWORD PTR [edx+0x4f],memory,0,Modem_Update_,1306073,
1306206,0x13ee5e,call,DWORD PTR ds:0x47388,memory,0,Modem_Update_,1306073,
1306300,0x13eebc,call,DWORD PTR [edx+0x4f],memory,0,Receive_Modem_Packet_,1306229,
1306386,0x13ef12,call,DWORD PTR [ecx+0x5b],memory,0,Receive_Modem_Packet_,1306229,
1306621,0x13effd,call,DWORD PTR [edx+0x4f],memory,0,Receive_Modem_Packet_,1306229,
1306714,0x13f05a,call,DWORD PTR [ecx+0x5b],memory,0,Receive_Modem_Packet_,1306229,
1320167,0x1424e7,call,DWORD PTR [ecx+0x47],memory,0,HMSendStringNoWait_,1320144,
1320635,0x1426bb,call,DWORD PTR ds:0x12cd4,memory,0,HMInputLine_,1320592,
1320653,0x1426cd,call,DWORD PTR [esi+0x1b],memory,0,HMInputLine_,1320592,
1320674,0x1426e2,call,DWORD PTR ds:0x117c8,memory,0,HMInputLine_,1320592,
1320712,0x142708,call,DWORD PTR ds:0x12cd8,memory,0,HMInputLine_,1320592,
1320897,0x1427c1,call,DWORD PTR [ecx+0x5b],memory,0,ClearRXBuffer_,1320880,
1320931,0x1427e3,call,DWORD PTR [edx+0x67],memory,0,GetDsr_,1320928,
1320951,0x1427f7,call,DWORD PTR [edx+0x67],memory,0,GetCd_,1320948,
1320975,0x14280f,call,DWORD PTR [edx+0x67],memory,0,GetRi_,1320972,
1320995,0x142823,call,DWORD PTR [edx+0x67],memory,0,GetCts_,1320992,
1327294,0x1440be,call,DWORD PTR ds:0x11864,memory,0,_MEM_alloc_lock,1327270,
1327386,0x14411a,call,DWORD PTR ds:0x11868,memory,0,_MEM_free_lock,1327340,
1328597,0x1445d5,call,DWORD PTR ds:0x11864,memory,0,_DLL_load,1328475,
1332225,0x145401,jump,edx,register,0,_AIL_switch_stack,1332173,
1332253,0x14541d,jump,ecx,register,0,_AIL_restore_stack,1332227,
1334899,0x145e73,call,DWORD PTR [esi+0x20],memory,0,_AIL_API_uninstall_driver,1334882,
1337625,0x146919,jump,DWORD PTR cs:[eax*4+0x146844],indexed_memory,1,_SS_configure_buffers,1337456,
1338089,0x146ae9,jump,DWORD PTR cs:[eax*4+0x146854],indexed_memory,1,_SS_configure_buffers,1337456,
1340661,0x1474f5,call,DWORD PTR ds:0x11868,memory,0,_AIL_API_install_DIG_driver_file,1340592,
1341832,0x147988,call,DWORD PTR [esi+0x84c],memory,0,_AIL_API_end_sample,1341792,
1341851,0x14799b,call,DWORD PTR [esi+0x850],memory,0,_AIL_API_end_sample,1341792,
1342068,0x147a74,jump,DWORD PTR cs:[eax*4+0x147a48],indexed_memory,1,_AIL_API_minimum_sample_buffer_size,1342048,
1342701,0x147ced,call,DWORD PTR [esi+0x874],memory,0,_AIL_WAV_EOS,1342686,
1342818,0x147d62,jump,DWORD PTR cs:[eax*4+0x147d14],indexed_memory,1,_AIL_process_VOC_block,1342780,
1351731,0x14a033,call,DWORD PTR ds:0x11864,memory,0,_XMI_construct_MDI_driver,1350816,
1352581,0x14a385,call,DWORD PTR ds:0x11868,memory,0,_AIL_API_install_MDI_driver_file,1352512,
1353676,0x14a7cc,call,DWORD PTR [eax+0x1a4],memory,0,_AIL_API_init_sequence,1353104,
1354942,0x14acbe,call,DWORD PTR [esi+0x1a4],memory,0,_AIL_API_install_timbre,1354912,
1356816,0x14b410,call,DWORD PTR [esi+0x1a0],memory,0,_AIL_API_send_channel_voice_message,1356768,
1361909,0x14c7f5,call,FWORD PTR ds:0x51836,memory,0,DEFWINSMACKTIMERREAD,1361904,
1368519,0x14e1c7,call,DWORD PTR ds:0x12cd8,memory,0,timer_,1368480,
1368553,0x14e1e9,call,DWORD PTR ds:0x12cd8,memory,0,PortKillTime_,1368532,
1368629,0x14e235,call,DWORD PTR [esi+0x57],memory,0,WriteString_,1368576,
1368666,0x14e25a,call,DWORD PTR [esi+0x23],memory,0,WriteString_,1368576,
1368676,0x14e264,call,DWORD PTR [esi+0x23],memory,0,WriteString_,1368576,
1370219,0x14e86b,call,DWORD PTR [esp+0x26],memory,0,UnHookInterrupt_,1370132,
1371818,0x14eeaa,call,DWORD PTR [esp],memory,0,_GenericNotSupportedG_,1371804,
1371826,0x14eeb2,call,DWORD PTR [esp],memory,0,_GenericNotSupportedG_,1371804,
1371926,0x14ef16,call,DWORD PTR [edx+0x27],memory,0,_close_all_ports_,1371908,
1373246,0x14f43e,call,DWORD PTR [ebp-0x8],memory,0,_DumpChipData_,1373024,
1373383,0x14f4c7,call,DWORD PTR [ebp-0x4],memory,0,_DumpAddresses_,1373256,
1373532,0x14f55c,call,DWORD PTR [esp+0x5c],memory,0,_DumpBuffer_,1373396,
1373556,0x14f574,call,DWORD PTR [ebx+0x67],memory,0,_DumpStatusBits_,1373544,
1373563,0x14f57b,call,DWORD PTR [ebx+0x6b],memory,0,_DumpStatusBits_,1373544,
1373707,0x14f60b,call,DWORD PTR [ebp-0x4],memory,0,_DumpStatusBits_,1373544,
1373845,0x14f695,call,DWORD PTR [ebp-0x4],memory,0,_DumpHandshaking_,1373716,
1373928,0x14f6e8,call,DWORD PTR [esp+0x54],memory,0,_DumpLinks_,1373856,
1373950,0x14f6fe,call,DWORD PTR [ebx+0x4b],memory,0,_DumpBufferSpace_,1373940,
1373956,0x14f704,call,DWORD PTR [ebx+0x4f],memory,0,_DumpBufferSpace_,1373940,
1373962,0x14f70a,call,DWORD PTR [ebx+0x43],memory,0,_DumpBufferSpace_,1373940,
1373968,0x14f710,call,DWORD PTR [ebx+0x47],memory,0,_DumpBufferSpace_,1373940,
1373998,0x14f72e,call,DWORD PTR [esp+0x54],memory,0,_DumpBufferSpace_,1373940,
1374130,0x14f7b2,call,DWORD PTR [esp+0x9c],memory,0,_DumpIRQData_,1374008,
1374198,0x14f7f6,call,DWORD PTR [esp+0x9c],memory,0,_DumpIRQData_,1374008,
1374275,0x14f843,call,DWORD PTR [esp+0x9c],memory,0,_DumpIRQData_,1374008,
1374318,0x14f86e,call,DWORD PTR [esp+0x9c],memory,0,_DumpIRQData_,1374008,
1374389,0x14f8b5,call,DWORD PTR [esp+0x3c],memory,0,_DumpPortStatusGreenleafFast_,1374340,
1374400,0x14f8c0,call,DWORD PTR [esp+0x3c],memory,0,_DumpPortStatusGreenleafFast_,1374340,
1384764,0x15213c,call,DWORD PTR [ebp*4+0x1504f8],indexed_memory,0,_AILSSA_merge,1384448,
1384910,0x1521ce,call,DWORD PTR [ecx+0x850],memory,0,_AILSSA_merge,1384448,
1384927,0x1521df,call,DWORD PTR [ecx+0x848],memory,0,_AILSSA_merge,1384448,
1384947,0x1521f3,call,DWORD PTR [ecx+0x84c],memory,0,_AILSSA_merge,1384448,
1385093,0x152285,call,DWORD PTR [eax*4+0x1502f8],indexed_memory,0,_AILSSA_DMA_copy,1384961,
1389193,0x153289,call,DWORD PTR ds:0x12d48,memory,0,abort_,1389193,
1390796,0x1538cc,call,DWORD PTR [esp],memory,0,__sigfpe_handler_,1390752,
1391020,0x1539ac,jump,DWORD PTR cs:[ebx*4+0x15395a],indexed_memory,1,raise_,1390986,
1391096,0x1539f8,call,DWORD PTR [esp],memory,0,raise_,1390986,
1391940,0x153d44,call,DWORD PTR ds:0xca2d,memory,0,__FPE2Handler_,1391738,
1410580,0x158614,call,DWORD PTR es:[esi+0xa],memory,0,__prot_dispatcher,1410537,
